gene	LSH1LSH2_OE
MtrunA17_CPg0492291	0
MtrunA17_CPg0492311	0.765700723916708
MtrunA17_CPg0492351	1.04881560980978
MtrunA17_CPg0492361	0
MtrunA17_CPg0492371	1.26602270986242
MtrunA17_CPg0492431	0
MtrunA17_CPg0492461	0
MtrunA17_CPg0492514	0
MtrunA17_CPg0492671	1.56837111175597
MtrunA17_CPg0492681	0
MtrunA17_CPg0492701	0
MtrunA17_CPg0492711	0
MtrunA17_CPg0492761	0
MtrunA17_CPg0492781	0
MtrunA17_CPg0492791	-1.92134083335901
MtrunA17_CPg0492851	1.67445300807395
MtrunA17_CPg0492881	0
MtrunA17_CPg0492891	1.13656676984178
MtrunA17_CPg0492961	0
MtrunA17_CPg0492981	0
MtrunA17_CPg0492991	0
MtrunA17_CPg0493001	1.28582659406354
MtrunA17_CPg0493021	1.55036532558211
MtrunA17_CPg0493041	0
MtrunA17_CPg0493131	0.807314243792626
MtrunA17_CPg0493211	0
MtrunA17_CPg0493221	1.93791004150636
MtrunA17_CPg0493231	0.879446120178732
MtrunA17_CPg0493371	0
MtrunA17_CPg0493411	1.11500596117016
MtrunA17_CPg0493441	1.47532679992834
MtrunA17_Chr0c01g0488941	0
MtrunA17_Chr0c01g0488951	0
MtrunA17_Chr0c01g0489051	0
MtrunA17_Chr0c01g0489061	0
MtrunA17_Chr0c01g0489111	0
MtrunA17_Chr0c01g0489121	-0.73066449054099
MtrunA17_Chr0c01g0489131	-1.57968968067598
MtrunA17_Chr0c01g0489161	0
MtrunA17_Chr0c01g0489171	0
MtrunA17_Chr0c01g0489181	0.947050869619778
MtrunA17_Chr0c01g0489211	0
MtrunA17_Chr0c01g0489231	0
MtrunA17_Chr0c01g0489261	0
MtrunA17_Chr0c01g0489311	0
MtrunA17_Chr0c01g0489321	0
MtrunA17_Chr0c01g0489331	-0.868600123525463
MtrunA17_Chr0c01g0489391	0
MtrunA17_Chr0c01g0489401	0
MtrunA17_Chr0c01g0489411	1.25889396954992
MtrunA17_Chr0c01g0489471	0
MtrunA17_Chr0c01g0489481	0
MtrunA17_Chr0c01g0489511	0
MtrunA17_Chr0c01g0489601	0
MtrunA17_Chr0c01g0489641	0
MtrunA17_Chr0c02g0489651	0
MtrunA17_Chr0c02g0489661	0
MtrunA17_Chr0c03g0489881	-0.668515573145831
MtrunA17_Chr0c03g0489911	0
MtrunA17_Chr0c03g0489951	0
MtrunA17_Chr0c03g0489971	0
MtrunA17_Chr0c03g0489991	0
MtrunA17_Chr0c03g0490031	0
MtrunA17_Chr0c03g0490061	0
MtrunA17_Chr0c04g0492001	-0.610068094870712
MtrunA17_Chr0c04g0492031	-0.590935061665004
MtrunA17_Chr0c04g0492041	-0.919935800446762
MtrunA17_Chr0c04g0492081	1.60568028292448
MtrunA17_Chr0c04g0492091	0
MtrunA17_Chr0c05g0492121	0
MtrunA17_Chr0c05g0492131	-0.60253843123114
MtrunA17_Chr0c09g0493491	0
MtrunA17_Chr0c09g0493501	0
MtrunA17_Chr0c12g0493641	1.4785389581036
MtrunA17_Chr0c12g0493651	0
MtrunA17_Chr0c12g0493661	0
MtrunA17_Chr0c12g0493681	0
MtrunA17_Chr0c14g0493691	-0.694952343326885
MtrunA17_Chr0c19g0493771	0.631708242025705
MtrunA17_Chr0c19g0493781	0
MtrunA17_Chr0c19g0493791	0
MtrunA17_Chr0c20g0493811	0
MtrunA17_Chr0c20g0493821	0
MtrunA17_Chr0c20g0493841	0
MtrunA17_Chr0c22g0493871	0
MtrunA17_Chr0c22g0493881	0
MtrunA17_Chr0c27g0493901	0
MtrunA17_Chr0c27g0493911	0
MtrunA17_Chr0c27g0493921	0
MtrunA17_Chr0c28g0493941	-0.65802438584761
MtrunA17_Chr0c28g0493951	0
MtrunA17_Chr0c28g0493961	0
MtrunA17_Chr0c29g0493981	0
MtrunA17_Chr0c29g0493991	0
MtrunA17_Chr0c29g0494021	0
MtrunA17_Chr0c29g0494031	0
MtrunA17_Chr0c29g0494041	0
MtrunA17_Chr0c31g0494151	-0.747241069380459
MtrunA17_Chr0c31g0494161	0
MtrunA17_Chr0c32g0494171	0
MtrunA17_Chr1g0146151	0
MtrunA17_Chr1g0146161	0
MtrunA17_Chr1g0146171	0
MtrunA17_Chr1g0146181	1.78219492643762
MtrunA17_Chr1g0146191	0
MtrunA17_Chr1g0146201	0
MtrunA17_Chr1g0146211	0
MtrunA17_Chr1g0146221	0
MtrunA17_Chr1g0146241	0
MtrunA17_Chr1g0146281	0
MtrunA17_Chr1g0146291	0
MtrunA17_Chr1g0146311	0
MtrunA17_Chr1g0146321	0
MtrunA17_Chr1g0146331	0.591268126310177
MtrunA17_Chr1g0146421	0
MtrunA17_Chr1g0146441	0
MtrunA17_Chr1g0146451	0
MtrunA17_Chr1g0146461	0
MtrunA17_Chr1g0146481	0
MtrunA17_Chr1g0146491	0
MtrunA17_Chr1g0146531	0
MtrunA17_Chr1g0146551	0
MtrunA17_Chr1g0146561	0
MtrunA17_Chr1g0146581	0
MtrunA17_Chr1g0146591	-3.07372926377649
MtrunA17_Chr1g0146621	0
MtrunA17_Chr1g0146641	-2.62572385695864
MtrunA17_Chr1g0146671	0
MtrunA17_Chr1g0146681	0
MtrunA17_Chr1g0146731	-0.753498823644421
MtrunA17_Chr1g0146771	0
MtrunA17_Chr1g0146781	0
MtrunA17_Chr1g0146801	0
MtrunA17_Chr1g0146811	0
MtrunA17_Chr1g0146831	0
MtrunA17_Chr1g0146861	0
MtrunA17_Chr1g0146881	0
MtrunA17_Chr1g0146901	0
MtrunA17_Chr1g0146911	0
MtrunA17_Chr1g0146921	-0.816689447142446
MtrunA17_Chr1g0146931	0
MtrunA17_Chr1g0147011	0
MtrunA17_Chr1g0147021	0
MtrunA17_Chr1g0147051	0
MtrunA17_Chr1g0147061	0
MtrunA17_Chr1g0147071	0
MtrunA17_Chr1g0147081	0
MtrunA17_Chr1g0147101	0
MtrunA17_Chr1g0147111	0
MtrunA17_Chr1g0147151	0
MtrunA17_Chr1g0147161	0
MtrunA17_Chr1g0147171	0
MtrunA17_Chr1g0147201	0
MtrunA17_Chr1g0147211	0
MtrunA17_Chr1g0147221	0
MtrunA17_Chr1g0147271	4.94819741311227
MtrunA17_Chr1g0147341	0
MtrunA17_Chr1g0147361	0
MtrunA17_Chr1g0147381	0
MtrunA17_Chr1g0147421	0
MtrunA17_Chr1g0147481	0
MtrunA17_Chr1g0147491	0
MtrunA17_Chr1g0147501	0
MtrunA17_Chr1g0147511	0
MtrunA17_Chr1g0147561	0
MtrunA17_Chr1g0147601	0
MtrunA17_Chr1g0147611	0
MtrunA17_Chr1g0147651	0
MtrunA17_Chr1g0147671	0
MtrunA17_Chr1g0147691	0
MtrunA17_Chr1g0147701	1.65018086548417
MtrunA17_Chr1g0147731	0
MtrunA17_Chr1g0147741	0
MtrunA17_Chr1g0147751	0
MtrunA17_Chr1g0147811	0
MtrunA17_Chr1g0147821	0
MtrunA17_Chr1g0147881	-0.755872712197311
MtrunA17_Chr1g0147911	0
MtrunA17_Chr1g0147921	0
MtrunA17_Chr1g0147931	0
MtrunA17_Chr1g0147941	0
MtrunA17_Chr1g0147951	0
MtrunA17_Chr1g0148001	0
MtrunA17_Chr1g0148021	0
MtrunA17_Chr1g0148031	-2.84901347011172
MtrunA17_Chr1g0148051	0
MtrunA17_Chr1g0148071	-0.846423194306772
MtrunA17_Chr1g0148081	0
MtrunA17_Chr1g0148121	1.17630710942817
MtrunA17_Chr1g0148131	0
MtrunA17_Chr1g0148141	0
MtrunA17_Chr1g0148251	0
MtrunA17_Chr1g0148271	0
MtrunA17_Chr1g0148281	0
MtrunA17_Chr1g0148301	0
MtrunA17_Chr1g0148321	0
MtrunA17_Chr1g0148341	0
MtrunA17_Chr1g0148361	0.841095058501135
MtrunA17_Chr1g0148391	0
MtrunA17_Chr1g0148401	0
