gene	LSH1_ChIP
MtrunA17_CPg0492291	<2
MtrunA17_CPg0492311	<2
MtrunA17_CPg0492351	<2
MtrunA17_CPg0492361	<2
MtrunA17_CPg0492371	<2
MtrunA17_CPg0492431	<2
MtrunA17_CPg0492461	<2
MtrunA17_CPg0492514	<2
MtrunA17_CPg0492671	<2
MtrunA17_CPg0492681	<2
MtrunA17_CPg0492701	<2
MtrunA17_CPg0492711	<2
MtrunA17_CPg0492761	<2
MtrunA17_CPg0492781	<2
MtrunA17_CPg0492791	<2
MtrunA17_CPg0492851	<2
MtrunA17_CPg0492881	<2
MtrunA17_CPg0492891	<2
MtrunA17_CPg0492961	<2
MtrunA17_CPg0492981	<2
MtrunA17_CPg0492991	<2
MtrunA17_CPg0493001	<2
MtrunA17_CPg0493021	<2
MtrunA17_CPg0493041	<2
MtrunA17_CPg0493131	<2
MtrunA17_CPg0493211	<2
MtrunA17_CPg0493221	<2
MtrunA17_CPg0493231	<2
MtrunA17_CPg0493371	<2
MtrunA17_CPg0493411	<2
MtrunA17_CPg0493441	<2
MtrunA17_Chr0c01g0488941	<2
MtrunA17_Chr0c01g0488951	<2
MtrunA17_Chr0c01g0489051	<2
MtrunA17_Chr0c01g0489061	<2
MtrunA17_Chr0c01g0489111	<2
MtrunA17_Chr0c01g0489121	<2
MtrunA17_Chr0c01g0489131	<2
MtrunA17_Chr0c01g0489161	<2
MtrunA17_Chr0c01g0489171	<2
MtrunA17_Chr0c01g0489181	<2
MtrunA17_Chr0c01g0489211	<2
MtrunA17_Chr0c01g0489231	<2
MtrunA17_Chr0c01g0489261	3
MtrunA17_Chr0c01g0489311	<2
MtrunA17_Chr0c01g0489321	3
MtrunA17_Chr0c01g0489331	<2
MtrunA17_Chr0c01g0489391	<2
MtrunA17_Chr0c01g0489401	<2
MtrunA17_Chr0c01g0489411	<2
MtrunA17_Chr0c01g0489471	<2
MtrunA17_Chr0c01g0489481	<2
MtrunA17_Chr0c01g0489511	<2
MtrunA17_Chr0c01g0489601	<2
MtrunA17_Chr0c01g0489641	3
MtrunA17_Chr0c02g0489651	<2
MtrunA17_Chr0c02g0489661	<2
MtrunA17_Chr0c03g0489881	<2
MtrunA17_Chr0c03g0489911	<2
MtrunA17_Chr0c03g0489951	<2
MtrunA17_Chr0c03g0489971	<2
MtrunA17_Chr0c03g0489991	<2
MtrunA17_Chr0c03g0490031	<2
MtrunA17_Chr0c03g0490061	<2
MtrunA17_Chr0c04g0492001	<2
MtrunA17_Chr0c04g0492031	<2
MtrunA17_Chr0c04g0492041	2
MtrunA17_Chr0c04g0492081	<2
MtrunA17_Chr0c04g0492091	<2
MtrunA17_Chr0c05g0492121	<2
MtrunA17_Chr0c05g0492131	<2
MtrunA17_Chr0c09g0493491	<2
MtrunA17_Chr0c09g0493501	<2
MtrunA17_Chr0c12g0493641	<2
MtrunA17_Chr0c12g0493651	<2
MtrunA17_Chr0c12g0493661	<2
MtrunA17_Chr0c12g0493681	<2
MtrunA17_Chr0c14g0493691	<2
MtrunA17_Chr0c19g0493771	<2
MtrunA17_Chr0c19g0493781	<2
MtrunA17_Chr0c19g0493791	<2
MtrunA17_Chr0c20g0493811	<2
MtrunA17_Chr0c20g0493821	<2
MtrunA17_Chr0c20g0493841	<2
MtrunA17_Chr0c22g0493871	<2
MtrunA17_Chr0c22g0493881	<2
MtrunA17_Chr0c27g0493901	<2
MtrunA17_Chr0c27g0493911	<2
MtrunA17_Chr0c27g0493921	<2
MtrunA17_Chr0c28g0493941	<2
MtrunA17_Chr0c28g0493951	<2
MtrunA17_Chr0c28g0493961	<2
MtrunA17_Chr0c29g0493981	<2
MtrunA17_Chr0c29g0493991	<2
MtrunA17_Chr0c29g0494021	<2
MtrunA17_Chr0c29g0494031	<2
MtrunA17_Chr0c29g0494041	<2
MtrunA17_Chr0c31g0494151	<2
MtrunA17_Chr0c31g0494161	<2
MtrunA17_Chr0c32g0494171	<2
MtrunA17_Chr1g0146151	<2
MtrunA17_Chr1g0146161	<2
MtrunA17_Chr1g0146171	3
MtrunA17_Chr1g0146181	<2
MtrunA17_Chr1g0146191	2
MtrunA17_Chr1g0146201	<2
MtrunA17_Chr1g0146211	<2
MtrunA17_Chr1g0146221	<2
MtrunA17_Chr1g0146241	<2
MtrunA17_Chr1g0146281	<2
MtrunA17_Chr1g0146291	2
MtrunA17_Chr1g0146311	<2
MtrunA17_Chr1g0146321	<2
MtrunA17_Chr1g0146331	3
MtrunA17_Chr1g0146421	<2
MtrunA17_Chr1g0146441	<2
MtrunA17_Chr1g0146451	<2
MtrunA17_Chr1g0146461	<2
MtrunA17_Chr1g0146481	<2
MtrunA17_Chr1g0146491	<2
MtrunA17_Chr1g0146531	<2
MtrunA17_Chr1g0146551	3
MtrunA17_Chr1g0146561	<2
MtrunA17_Chr1g0146581	<2
MtrunA17_Chr1g0146591	<2
MtrunA17_Chr1g0146621	<2
MtrunA17_Chr1g0146641	<2
MtrunA17_Chr1g0146671	<2
MtrunA17_Chr1g0146681	<2
MtrunA17_Chr1g0146731	<2
MtrunA17_Chr1g0146771	<2
MtrunA17_Chr1g0146781	<2
MtrunA17_Chr1g0146801	<2
MtrunA17_Chr1g0146811	<2
MtrunA17_Chr1g0146831	<2
MtrunA17_Chr1g0146861	<2
MtrunA17_Chr1g0146881	<2
MtrunA17_Chr1g0146901	<2
MtrunA17_Chr1g0146911	<2
MtrunA17_Chr1g0146921	2
MtrunA17_Chr1g0146931	<2
MtrunA17_Chr1g0147011	<2
MtrunA17_Chr1g0147021	<2
MtrunA17_Chr1g0147051	3
MtrunA17_Chr1g0147061	<2
MtrunA17_Chr1g0147071	<2
MtrunA17_Chr1g0147081	<2
MtrunA17_Chr1g0147101	<2
MtrunA17_Chr1g0147111	3
MtrunA17_Chr1g0147151	<2
MtrunA17_Chr1g0147161	<2
MtrunA17_Chr1g0147171	<2
MtrunA17_Chr1g0147201	<2
MtrunA17_Chr1g0147211	3
MtrunA17_Chr1g0147221	<2
MtrunA17_Chr1g0147271	<2
MtrunA17_Chr1g0147341	<2
MtrunA17_Chr1g0147361	2
MtrunA17_Chr1g0147381	<2
MtrunA17_Chr1g0147421	<2
MtrunA17_Chr1g0147481	<2
MtrunA17_Chr1g0147491	3
MtrunA17_Chr1g0147501	<2
MtrunA17_Chr1g0147511	<2
MtrunA17_Chr1g0147561	2
MtrunA17_Chr1g0147601	<2
MtrunA17_Chr1g0147611	<2
MtrunA17_Chr1g0147651	<2
MtrunA17_Chr1g0147671	<2
MtrunA17_Chr1g0147691	<2
MtrunA17_Chr1g0147701	<2
MtrunA17_Chr1g0147731	<2
MtrunA17_Chr1g0147741	3
MtrunA17_Chr1g0147751	<2
MtrunA17_Chr1g0147811	<2
MtrunA17_Chr1g0147821	<2
MtrunA17_Chr1g0147881	2
MtrunA17_Chr1g0147911	<2
MtrunA17_Chr1g0147921	<2
MtrunA17_Chr1g0147931	<2
MtrunA17_Chr1g0147941	2
MtrunA17_Chr1g0147951	<2
MtrunA17_Chr1g0148001	<2
MtrunA17_Chr1g0148021	<2
MtrunA17_Chr1g0148031	<2
MtrunA17_Chr1g0148051	<2
MtrunA17_Chr1g0148071	<2
MtrunA17_Chr1g0148081	<2
MtrunA17_Chr1g0148121	<2
MtrunA17_Chr1g0148131	<2
MtrunA17_Chr1g0148141	<2
MtrunA17_Chr1g0148251	<2
MtrunA17_Chr1g0148271	<2
MtrunA17_Chr1g0148281	2
MtrunA17_Chr1g0148301	<2
MtrunA17_Chr1g0148321	<2
MtrunA17_Chr1g0148341	3
MtrunA17_Chr1g0148361	<2
MtrunA17_Chr1g0148391	<2
MtrunA17_Chr1g0148401	<2
MtrunA17_Chr1g0148411	2
MtrunA17_Chr1g0148421	<2
MtrunA17_Chr1g0148451	2
MtrunA17_Chr1g0148461	<2
MtrunA17_Chr1g0148481	<2
MtrunA17_Chr1g0148491	<2
MtrunA17_Chr1g0148501	<2
MtrunA17_Chr1g0148511	3
MtrunA17_Chr1g0148521	2
MtrunA17_Chr1g0148541	<2
MtrunA17_Chr1g0148561	<2
MtrunA17_Chr1g0148571	2
MtrunA17_Chr1g0148621	<2
MtrunA17_Chr1g0148641	<2
MtrunA17_Chr1g0148671	<2
MtrunA17_Chr1g0148681	<2
MtrunA17_Chr1g0148731	<2
MtrunA17_Chr1g0148741	<2
MtrunA17_Chr1g0148751	<2
MtrunA17_Chr1g0148771	<2
MtrunA17_Chr1g0148811	2
MtrunA17_Chr1g0148841	<2
MtrunA17_Chr1g0148881	<2
MtrunA17_Chr1g0148891	<2
MtrunA17_Chr1g0148901	<2
MtrunA17_Chr1g0148911	<2
MtrunA17_Chr1g0148921	<2
MtrunA17_Chr1g0148951	<2
MtrunA17_Chr1g0148961	<2
MtrunA17_Chr1g0148991	<2
MtrunA17_Chr1g0149051	<2
MtrunA17_Chr1g0149101	<2
MtrunA17_Chr1g0149111	2
MtrunA17_Chr1g0149141	<2
MtrunA17_Chr1g0149171	<2
MtrunA17_Chr1g0149191	<2
MtrunA17_Chr1g0149211	<2
MtrunA17_Chr1g0149221	<2
MtrunA17_Chr1g0149231	<2
MtrunA17_Chr1g0149251	<2
MtrunA17_Chr1g0149261	<2
MtrunA17_Chr1g0149281	<2
MtrunA17_Chr1g0149301	<2
MtrunA17_Chr1g0149311	<2
MtrunA17_Chr1g0149341	3
MtrunA17_Chr1g0149351	<2
MtrunA17_Chr1g0149381	<2
MtrunA17_Chr1g0149401	<2
MtrunA17_Chr1g0149451	<2
MtrunA17_Chr1g0149461	<2
MtrunA17_Chr1g0149491	<2
MtrunA17_Chr1g0149501	<2
MtrunA17_Chr1g0149511	<2
MtrunA17_Chr1g0149561	3
MtrunA17_Chr1g0149581	2
MtrunA17_Chr1g0149611	<2
MtrunA17_Chr1g0149621	<2
MtrunA17_Chr1g0149641	<2
MtrunA17_Chr1g0149651	2
MtrunA17_Chr1g0149671	2
MtrunA17_Chr1g0149711	3
MtrunA17_Chr1g0149721	<2
