gene	R108_spotinoc_24hrs	R108_spotinoc_72hrs
MtrunA17_CPg0492291	0	0
MtrunA17_CPg0492311	0	0
MtrunA17_CPg0492351	0	-0.758500680734371
MtrunA17_CPg0492361	0	0
MtrunA17_CPg0492371	0	0
MtrunA17_CPg0492431	0	0
MtrunA17_CPg0492461	0	0
MtrunA17_CPg0492514	0	0
MtrunA17_CPg0492671	0	0
MtrunA17_CPg0492681	0	0
MtrunA17_CPg0492701	0	0
MtrunA17_CPg0492711	0	0
MtrunA17_CPg0492761	0	0
MtrunA17_CPg0492781	0	0
MtrunA17_CPg0492791	0	0
MtrunA17_CPg0492851	0	0
MtrunA17_CPg0492881	0	0
MtrunA17_CPg0492891	0	0
MtrunA17_CPg0492961	0	0
MtrunA17_CPg0492981	0	0
MtrunA17_CPg0492991	0	0
MtrunA17_CPg0493001	0	0
MtrunA17_CPg0493021	0	2.61795061160495
MtrunA17_CPg0493041	0	0
MtrunA17_CPg0493131	0	0
MtrunA17_CPg0493211	0	0
MtrunA17_CPg0493221	0	-1.08221169040647
MtrunA17_CPg0493231	0	0
MtrunA17_CPg0493371	0	0
MtrunA17_CPg0493411	0	0
MtrunA17_CPg0493441	0	-1.42121214934
MtrunA17_Chr0c01g0488941	0	-0.851883534605701
MtrunA17_Chr0c01g0488951	0	0
MtrunA17_Chr0c01g0489051	0	-0.842664010218031
MtrunA17_Chr0c01g0489061	0	0
MtrunA17_Chr0c01g0489111	0	0
MtrunA17_Chr0c01g0489121	0	0
MtrunA17_Chr0c01g0489131	0	0
MtrunA17_Chr0c01g0489161	0	-1.26723612838906
MtrunA17_Chr0c01g0489171	0	0
MtrunA17_Chr0c01g0489181	0	0
MtrunA17_Chr0c01g0489211	0	0
MtrunA17_Chr0c01g0489231	0	0
MtrunA17_Chr0c01g0489261	0	-1.68091857204777
MtrunA17_Chr0c01g0489311	0	0
MtrunA17_Chr0c01g0489321	0	1.10835456155058
MtrunA17_Chr0c01g0489331	0	0
MtrunA17_Chr0c01g0489391	1.13838513984588	1.29275743930309
MtrunA17_Chr0c01g0489401	0.675752527067	0.703135515583277
MtrunA17_Chr0c01g0489411	0	0
MtrunA17_Chr0c01g0489471	0	0.668952164446793
MtrunA17_Chr0c01g0489481	0	-0.646717570334457
MtrunA17_Chr0c01g0489511	-0.663937170294917	-0.81877842932123
MtrunA17_Chr0c01g0489601	0	0
MtrunA17_Chr0c01g0489641	0	0
MtrunA17_Chr0c02g0489651	0	0
MtrunA17_Chr0c02g0489661	0	0
MtrunA17_Chr0c03g0489881	0	2.40973321507987
MtrunA17_Chr0c03g0489911	0	0
MtrunA17_Chr0c03g0489951	0	-0.834392088724731
MtrunA17_Chr0c03g0489971	0	0
MtrunA17_Chr0c03g0489991	0	0
MtrunA17_Chr0c03g0490031	0	-0.612069910684356
MtrunA17_Chr0c03g0490061	0	0
MtrunA17_Chr0c04g0492001	0	-1.18917807647531
MtrunA17_Chr0c04g0492031	0	-1.19334724635056
MtrunA17_Chr0c04g0492041	0	0
MtrunA17_Chr0c04g0492081	0	0
MtrunA17_Chr0c04g0492091	0	0
MtrunA17_Chr0c05g0492121	1.66207877387297	2.91734270101225
MtrunA17_Chr0c05g0492131	0	1.10665278375749
MtrunA17_Chr0c09g0493491	0.894726023334441	1.31078068884611
MtrunA17_Chr0c09g0493501	0	2.88481647689925
MtrunA17_Chr0c12g0493641	-1.61811631846728	-0.826102797853685
MtrunA17_Chr0c12g0493651	0.91142305890136	1.16845456151127
MtrunA17_Chr0c12g0493661	0	-0.733102258113602
MtrunA17_Chr0c12g0493681	0	0
MtrunA17_Chr0c14g0493691	0	0
MtrunA17_Chr0c19g0493771	0.66390496102442	2.2865209088775
MtrunA17_Chr0c19g0493781	0	0
MtrunA17_Chr0c19g0493791	0	0
MtrunA17_Chr0c20g0493811	0	-0.904633291987129
MtrunA17_Chr0c20g0493821	0	-0.664972235433361
MtrunA17_Chr0c20g0493841	0	-1.29862607315469
MtrunA17_Chr0c22g0493871	0	0.775542683779329
MtrunA17_Chr0c22g0493881	0.697507832894201	0.796469119260955
MtrunA17_Chr0c27g0493901	0	0
MtrunA17_Chr0c27g0493911	0	0
MtrunA17_Chr0c27g0493921	0	-1.36901021272716
MtrunA17_Chr0c28g0493941	0	-1.54742892130233
MtrunA17_Chr0c28g0493951	0	0
MtrunA17_Chr0c28g0493961	0	0
MtrunA17_Chr0c29g0493981	0	-0.807738743471745
MtrunA17_Chr0c29g0493991	0	-0.929900993361722
MtrunA17_Chr0c29g0494021	0	-0.835221963560268
MtrunA17_Chr0c29g0494031	0	-1.67746003475697
MtrunA17_Chr0c29g0494041	0	-0.889555586093694
MtrunA17_Chr0c31g0494151	0	0
MtrunA17_Chr0c31g0494161	0	0
MtrunA17_Chr0c32g0494171	0	0
MtrunA17_Chr1g0146151	0.663305129216298	1.18484169344349
MtrunA17_Chr1g0146161	0	-1.00529113662496
MtrunA17_Chr1g0146171	0	-1.53409828884842
MtrunA17_Chr1g0146181	0	-1.65063286188847
MtrunA17_Chr1g0146191	0	-2.35050775558239
MtrunA17_Chr1g0146201	0.679498429990935	0.596291572092244
MtrunA17_Chr1g0146211	0	-1.50147780989592
MtrunA17_Chr1g0146221	0	-1.44878148775843
MtrunA17_Chr1g0146241	0	-1.28552117946631
MtrunA17_Chr1g0146281	0.891066417459491	1.11704581760054
MtrunA17_Chr1g0146291	0	0
MtrunA17_Chr1g0146311	0	0
MtrunA17_Chr1g0146321	0	0
MtrunA17_Chr1g0146331	0	-1.04150541145687
MtrunA17_Chr1g0146421	0	0
MtrunA17_Chr1g0146441	0	0.767113546119841
MtrunA17_Chr1g0146451	0	0
MtrunA17_Chr1g0146461	0	0.733746400655094
MtrunA17_Chr1g0146481	0	0
MtrunA17_Chr1g0146491	0	0
MtrunA17_Chr1g0146531	0	0
MtrunA17_Chr1g0146551	0	0.588582555554146
MtrunA17_Chr1g0146561	0	0.826309602631973
MtrunA17_Chr1g0146581	0	-0.65907957139592
MtrunA17_Chr1g0146591	0	-2.29260915722141
MtrunA17_Chr1g0146621	0	1.83529710366275
MtrunA17_Chr1g0146641	0	-2.32497380483277
MtrunA17_Chr1g0146671	0	0
MtrunA17_Chr1g0146681	1.03422382408511	0.714670691817321
MtrunA17_Chr1g0146731	1.36363456473648	2.76450676697521
MtrunA17_Chr1g0146771	0	0
MtrunA17_Chr1g0146781	0	0
MtrunA17_Chr1g0146801	0	0
MtrunA17_Chr1g0146811	0	0
MtrunA17_Chr1g0146831	0	-1.70726803044947
MtrunA17_Chr1g0146861	0	-1.80406834048084
MtrunA17_Chr1g0146881	0	0
MtrunA17_Chr1g0146901	0	0
MtrunA17_Chr1g0146911	0	-0.902852337794529
MtrunA17_Chr1g0146921	0	-0.795799651152056
MtrunA17_Chr1g0146931	0	-0.67376432334673
MtrunA17_Chr1g0147011	0	0
MtrunA17_Chr1g0147021	0.64351135926079	2.60220524739263
MtrunA17_Chr1g0147051	0	-1.64952387966357
MtrunA17_Chr1g0147061	0	0
MtrunA17_Chr1g0147071	0	-1.01881361982725
MtrunA17_Chr1g0147081	0	0.648236714351796
MtrunA17_Chr1g0147101	0.691515835576427	0.871548996417659
MtrunA17_Chr1g0147111	0	-1.29863271809694
MtrunA17_Chr1g0147151	0	0
MtrunA17_Chr1g0147161	0.910780587484167	0
MtrunA17_Chr1g0147171	0	0
MtrunA17_Chr1g0147201	0	0.764214919175977
MtrunA17_Chr1g0147211	0.825494109801402	0
MtrunA17_Chr1g0147221	0	-1.05991642447605
MtrunA17_Chr1g0147271	0	0
MtrunA17_Chr1g0147341	0	1.17129859500146
MtrunA17_Chr1g0147361	0	0
MtrunA17_Chr1g0147381	0	0
MtrunA17_Chr1g0147421	0	0
MtrunA17_Chr1g0147481	0	0
MtrunA17_Chr1g0147491	0	-1.12387977957327
MtrunA17_Chr1g0147501	0	0
MtrunA17_Chr1g0147511	-0.589260887117634	-2.52425081750323
MtrunA17_Chr1g0147561	0	0
MtrunA17_Chr1g0147601	0	-1.0175781142139
MtrunA17_Chr1g0147611	-0.600709008951013	-0.881607420359548
MtrunA17_Chr1g0147651	0	0
MtrunA17_Chr1g0147671	0	-1.9286610866738
MtrunA17_Chr1g0147691	-0.960131055850898	0
MtrunA17_Chr1g0147701	0	0
MtrunA17_Chr1g0147731	0	0
MtrunA17_Chr1g0147741	0.639790129519474	0
MtrunA17_Chr1g0147751	1.02780368521488	0
MtrunA17_Chr1g0147811	0	-1.2568923057928
MtrunA17_Chr1g0147821	0.841019176596978	1.23017278997376
MtrunA17_Chr1g0147881	0	0
MtrunA17_Chr1g0147911	0	0
MtrunA17_Chr1g0147921	0	0
MtrunA17_Chr1g0147931	0	0
MtrunA17_Chr1g0147941	0	-1.73011140323069
MtrunA17_Chr1g0147951	0	-0.724061272667308
MtrunA17_Chr1g0148001	0	0
MtrunA17_Chr1g0148021	0	0
MtrunA17_Chr1g0148031	5.16400493995536	4.38052455833241
MtrunA17_Chr1g0148051	0.675351235589527	0
MtrunA17_Chr1g0148071	0	0
MtrunA17_Chr1g0148081	0	0
MtrunA17_Chr1g0148121	0	0
MtrunA17_Chr1g0148131	0.872462892590519	1.48140051486173
MtrunA17_Chr1g0148141	4.31172549878246	-1.5807130242743
MtrunA17_Chr1g0148251	0	-0.65857391782741
MtrunA17_Chr1g0148271	0	0
MtrunA17_Chr1g0148281	0.67648000320118	0.771062687189394
MtrunA17_Chr1g0148301	0	0
MtrunA17_Chr1g0148321	0	0.838426164947994
MtrunA17_Chr1g0148341	0	-0.895743641652634
MtrunA17_Chr1g0148361	0	-0.842842737449557
MtrunA17_Chr1g0148391	0	0
MtrunA17_Chr1g0148401	0	-0.844205897765213
MtrunA17_Chr1g0148411	0	0
MtrunA17_Chr1g0148421	0	-1.96271231103205
MtrunA17_Chr1g0148451	0	-2.70137818574761
MtrunA17_Chr1g0148461	4.14796314359105	2.69715599827659
MtrunA17_Chr1g0148481	0	0
MtrunA17_Chr1g0148491	0	-2.4434476436752
MtrunA17_Chr1g0148501	0	-1.92118720377002
MtrunA17_Chr1g0148511	0	-2.42119199848378
MtrunA17_Chr1g0148521	0	4.67223822360667
MtrunA17_Chr1g0148541	0	0
MtrunA17_Chr1g0148561	0	0
MtrunA17_Chr1g0148571	0	-0.752453978619365
MtrunA17_Chr1g0148621	0	0
MtrunA17_Chr1g0148641	0	0
MtrunA17_Chr1g0148671	0	0.841312445292028
MtrunA17_Chr1g0148681	0	4.22558882207349
MtrunA17_Chr1g0148731	-0.653866891437199	1.19773855168002
MtrunA17_Chr1g0148741	0	0.898518892600757
MtrunA17_Chr1g0148751	0	7.54253199766995
MtrunA17_Chr1g0148771	0	0
MtrunA17_Chr1g0148811	0	-0.870474322859272
MtrunA17_Chr1g0148841	0	1.53712153926229
MtrunA17_Chr1g0148881	-0.673840188863792	0
MtrunA17_Chr1g0148891	0	-1.14616165550005
MtrunA17_Chr1g0148901	0	0
MtrunA17_Chr1g0148911	0	-1.17749675798176
MtrunA17_Chr1g0148921	0	0
MtrunA17_Chr1g0148951	0	1.09545730817833
MtrunA17_Chr1g0148961	0	0.79722588195033
MtrunA17_Chr1g0148991	0	0
MtrunA17_Chr1g0149051	0	0
MtrunA17_Chr1g0149101	0	1.56959941876197
MtrunA17_Chr1g0149111	0	1.16651792641401
MtrunA17_Chr1g0149141	0	0
MtrunA17_Chr1g0149171	0	0
MtrunA17_Chr1g0149191	-0.701627140600256	-1.07605982606507
MtrunA17_Chr1g0149211	1.62119959501131	4.08122169296024
MtrunA17_Chr1g0149221	-0.754224718571143	-0.74045926538117
MtrunA17_Chr1g0149231	0.862965295663439	0.76665651656173
MtrunA17_Chr1g0149251	0.830170211801385	1.28810920901845
MtrunA17_Chr1g0149261	1.01982049116737	1.76419413651415
MtrunA17_Chr1g0149281	0	0
MtrunA17_Chr1g0149301	0	0
MtrunA17_Chr1g0149311	0	0
MtrunA17_Chr1g0149341	0	-1.0541943223264
MtrunA17_Chr1g0149351	0	-1.23192397902119
MtrunA17_Chr1g0149381	0	-1.04793386614724
MtrunA17_Chr1g0149401	0	-0.673489689942595
MtrunA17_Chr1g0149451	0	1.48334472725687
MtrunA17_Chr1g0149461	-0.603192425482255	0
MtrunA17_Chr1g0149491	0	-1.3634969922509
MtrunA17_Chr1g0149501	1.04674239463745	1.3041065827292
MtrunA17_Chr1g0149511	0	-0.917029421445863
MtrunA17_Chr1g0149561	0	-1.04811918604436
MtrunA17_Chr1g0149581	0	0
MtrunA17_Chr1g0149611	0	0
MtrunA17_Chr1g0149621	0	-0.802099780883854
MtrunA17_Chr1g0149641	0	0
MtrunA17_Chr1g0149651	0.76360037072464	0
MtrunA17_Chr1g0149671	1.05315935983334	0.626785790523761
MtrunA17_Chr1g0149711	0	0.886906735609933
MtrunA17_Chr1g0149721	0	0
MtrunA17_Chr1g0149751	0	0
MtrunA17_Chr1g0149761	0.985903759134788	1.41156878923993
MtrunA17_Chr1g0149771	0	0
MtrunA17_Chr1g0149781	0	0
MtrunA17_Chr1g0149791	0	-0.609064204424242
MtrunA17_Chr1g0149801	0.759991165275093	0.849026431581933
MtrunA17_Chr1g0149811	0	-1.74320583148105
MtrunA17_Chr1g0149821	0	1.12549643102997
MtrunA17_Chr1g0149941	0	-0.650089950389268
MtrunA17_Chr1g0149961	0	0
MtrunA17_Chr1g0149971	0	0
MtrunA17_Chr1g0150001	0	0
MtrunA17_Chr1g0150031	0	-0.731971030040513
MtrunA17_Chr1g0150041	0	-0.629662966200416
MtrunA17_Chr1g0150061	0	0
MtrunA17_Chr1g0150071	0	0
MtrunA17_Chr1g0150111	0.821256116841997	0
MtrunA17_Chr1g0150131	0	2.90413937201222
MtrunA17_Chr1g0150151	0	-2.74441805772333
MtrunA17_Chr1g0150171	0	0
MtrunA17_Chr1g0150191	0	0
MtrunA17_Chr1g0150221	1.05448197097909	1.13683228559915
MtrunA17_Chr1g0150241	0	0
MtrunA17_Chr1g0150261	0	1.58803717531171
MtrunA17_Chr1g0150271	0	-2.27287094984205
MtrunA17_Chr1g0150281	0	0
MtrunA17_Chr1g0150321	-0.859123053281505	-1.72100887546237
MtrunA17_Chr1g0150331	1.68030035036897	0
MtrunA17_Chr1g0150341	0	0
MtrunA17_Chr1g0150351	0	0
MtrunA17_Chr1g0150371	0	1.35662148634457
MtrunA17_Chr1g0150461	-2.23293742066581	0
MtrunA17_Chr1g0150471	-1.19387019983748	-1.01738552991804
MtrunA17_Chr1g0150511	0	0
MtrunA17_Chr1g0150531	0	0
MtrunA17_Chr1g0150561	0.613061478964414	0
MtrunA17_Chr1g0150581	0	0
MtrunA17_Chr1g0150641	0	-2.87646222391122
MtrunA17_Chr1g0150651	0	-3.74114659525234
MtrunA17_Chr1g0150681	0	0
MtrunA17_Chr1g0150711	0	1.11228531211652
MtrunA17_Chr1g0150731	0	0
MtrunA17_Chr1g0150741	0	-1.44042486889729
MtrunA17_Chr1g0150751	0	-1.67442073245092
MtrunA17_Chr1g0150771	0	-0.722015232200343
MtrunA17_Chr1g0150781	0	0
MtrunA17_Chr1g0150801	-1.0229143378149	-2.52594549967596
MtrunA17_Chr1g0150811	0	0
MtrunA17_Chr1g0150821	0	0.644232992042672
MtrunA17_Chr1g0150831	0.923008266894128	-0.864349761042778
MtrunA17_Chr1g0150851	-0.601291840516072	-1.29147957103886
MtrunA17_Chr1g0150941	0	-0.819255177241525
MtrunA17_Chr1g0150981	0	-1.52553535830743
MtrunA17_Chr1g0151021	0.788722165331525	0.72733593944496
MtrunA17_Chr1g0151041	0	1.61817688268384
MtrunA17_Chr1g0151061	0	0
MtrunA17_Chr1g0151071	0	-0.733280272588957
MtrunA17_Chr1g0151081	0	0.695592987141098
MtrunA17_Chr1g0151141	0	0
MtrunA17_Chr1g0151161	-1.53940369716811	-1.92857788130816
MtrunA17_Chr1g0151181	-0.76881915123548	-2.28961615703178
MtrunA17_Chr1g0151191	0	0
MtrunA17_Chr1g0151201	0	-0.710686653980495
MtrunA17_Chr1g0151221	-0.78720821268121	-1.43828486044175
MtrunA17_Chr1g0151231	-0.829062472709821	-0.800649124611811
MtrunA17_Chr1g0151241	0	-1.0481542056962
MtrunA17_Chr1g0151251	0	0
MtrunA17_Chr1g0151261	0	-0.685790306264572
MtrunA17_Chr1g0151281	0	-1.29291068137724
MtrunA17_Chr1g0151301	0	-1.13658844629308
MtrunA17_Chr1g0151321	0	-1.48494524541887
MtrunA17_Chr1g0151351	-1.32180583056847	-0.668875592108856
MtrunA17_Chr1g0151361	0	0
MtrunA17_Chr1g0151391	1.29873269299473	3.14320296260163
MtrunA17_Chr1g0151401	0	0.638175315904198
MtrunA17_Chr1g0151411	0	0
MtrunA17_Chr1g0151431	-0.71696649184702	-1.92853407835571
MtrunA17_Chr1g0151461	0	-1.54959421084503
MtrunA17_Chr1g0151481	0	-1.26439950084687
MtrunA17_Chr1g0151511	0.69973230748263	0.614703418954541
MtrunA17_Chr1g0151531	0	2.75130669843273
MtrunA17_Chr1g0151551	0	0
MtrunA17_Chr1g0151561	0	2.05402807621447
MtrunA17_Chr1g0151581	-0.781297547239271	-0.952531623751698
MtrunA17_Chr1g0151591	0	0
MtrunA17_Chr1g0151621	-0.67700851846798	-0.824852941998495
MtrunA17_Chr1g0151631	0	-0.931358425488861
MtrunA17_Chr1g0151661	0	0
MtrunA17_Chr1g0151681	0	0
MtrunA17_Chr1g0151691	0	0
MtrunA17_Chr1g0151731	1.03791746641627	2.29606424731877
MtrunA17_Chr1g0151771	3.01515225823751	5.83906216736844
MtrunA17_Chr1g0151781	0	-0.95994792517721
MtrunA17_Chr1g0151791	0	0
MtrunA17_Chr1g0151801	0	-1.60497036379947
MtrunA17_Chr1g0151811	0	-0.717574628602939
MtrunA17_Chr1g0151821	0	0
MtrunA17_Chr1g0151881	0	0
MtrunA17_Chr1g0151911	0	0
MtrunA17_Chr1g0151941	0	0.857315650260474
MtrunA17_Chr1g0151951	0	0
MtrunA17_Chr1g0151961	0	-0.841286253503432
MtrunA17_Chr1g0151971	0	-2.87087962874788
MtrunA17_Chr1g0152011	0	0
MtrunA17_Chr1g0152021	0	0
MtrunA17_Chr1g0152031	0	-0.786756823488645
MtrunA17_Chr1g0152051	0	0
MtrunA17_Chr1g0152061	0	0
MtrunA17_Chr1g0152081	0	0
MtrunA17_Chr1g0152131	0	0.787409506586985
MtrunA17_Chr1g0152141	0.72685077953154	0.84859961209362
MtrunA17_Chr1g0152151	0.953906190338105	1.21086638970654
MtrunA17_Chr1g0152161	0	-0.954437877702701
MtrunA17_Chr1g0152171	0	0
MtrunA17_Chr1g0152191	0	0
MtrunA17_Chr1g0152201	0	-1.62461059372345
MtrunA17_Chr1g0152221	0	-1.6293144439352
MtrunA17_Chr1g0152231	0.741404344605354	2.85240847626038
MtrunA17_Chr1g0152241	0	0
MtrunA17_Chr1g0152291	0	1.31681480731714
MtrunA17_Chr1g0152301	1.19565057566515	1.37457093300642
MtrunA17_Chr1g0152341	0	-2.0038661248691
MtrunA17_Chr1g0152351	0	0
MtrunA17_Chr1g0152371	1.19120885925265	0.867165341110865
MtrunA17_Chr1g0152381	0	3.22149328304278
MtrunA17_Chr1g0152401	0	3.68623769056129
MtrunA17_Chr1g0152411	0	0
MtrunA17_Chr1g0152431	0	-1.32957998032673
MtrunA17_Chr1g0152461	0	-1.97977483143867
MtrunA17_Chr1g0152471	0	0
MtrunA17_Chr1g0152481	0	-1.12973506870692
MtrunA17_Chr1g0152491	-0.892685703490419	-1.06031994785282
MtrunA17_Chr1g0152501	0	2.24123021409059
MtrunA17_Chr1g0152511	0	0
MtrunA17_Chr1g0152551	-0.854668031041321	-1.43771403644197
MtrunA17_Chr1g0152561	0	-1.3292295126157
MtrunA17_Chr1g0152571	0.83655805079344	-1.33609271680999
MtrunA17_Chr1g0152591	1.43820278628885	0.722235067178821
MtrunA17_Chr1g0152651	0	0
MtrunA17_Chr1g0152661	0	-2.16768442841253
MtrunA17_Chr1g0152681	0	0.941123179980697
MtrunA17_Chr1g0152691	3.02263174839287	3.05716704780906
MtrunA17_Chr1g0152701	0	2.79235962185447
MtrunA17_Chr1g0152721	0	0
MtrunA17_Chr1g0152751	1.21391672459197	1.56044384864269
MtrunA17_Chr1g0152761	0	-0.672833676740229
MtrunA17_Chr1g0152781	0	-0.602399735730793
MtrunA17_Chr1g0152791	0	0
MtrunA17_Chr1g0152811	0	0
MtrunA17_Chr1g0152831	0	-2.44655772551809
MtrunA17_Chr1g0152851	0	0
MtrunA17_Chr1g0152871	0	0.63063138083112
MtrunA17_Chr1g0152901	0	1.13690183890079
MtrunA17_Chr1g0152921	0	0
MtrunA17_Chr1g0152931	2.62853839918358	1.38338846590231
MtrunA17_Chr1g0152971	0	0
MtrunA17_Chr1g0153001	0.853552583889	1.57571375414734
MtrunA17_Chr1g0153011	0	-0.871118234000804
MtrunA17_Chr1g0153041	0	0.935738305943837
MtrunA17_Chr1g0153061	0	-0.631729240051689
MtrunA17_Chr1g0153131	-0.70093320661764	-0.82845615622881
MtrunA17_Chr1g0153151	-1.10921863072682	-2.35333082459898
MtrunA17_Chr1g0153171	0	-1.11294919281228
MtrunA17_Chr1g0153181	0.953825188644113	1.52079630571006
MtrunA17_Chr1g0153241	0.816110375403101	2.18674288817851
MtrunA17_Chr1g0153271	0	-0.792469771706152
MtrunA17_Chr1g0153281	0.618074463590745	1.72295884598533
MtrunA17_Chr1g0153291	0	0.726424754640516
MtrunA17_Chr1g0153331	0	-5.07755054091986
MtrunA17_Chr1g0153371	0	-4.07836667192571
MtrunA17_Chr1g0153381	0	-0.706704552254116
MtrunA17_Chr1g0153391	-0.685360303880799	-1.45267315535296
MtrunA17_Chr1g0153431	0	-1.48496331042643
MtrunA17_Chr1g0153451	0	-1.43952867595761
MtrunA17_Chr1g0153481	0	-1.30826939181604
