gene	lsh1lsh2_spotinoc_24hrs	lsh1lsh2_spotinoc_72hrs
MtrunA17_CPg0492291	0	0
MtrunA17_CPg0492311	0	0
MtrunA17_CPg0492351	0	0
MtrunA17_CPg0492361	0	0
MtrunA17_CPg0492371	0	0
MtrunA17_CPg0492431	0	0
MtrunA17_CPg0492461	0	0
MtrunA17_CPg0492514	0	0
MtrunA17_CPg0492671	0	0
MtrunA17_CPg0492681	0	0
MtrunA17_CPg0492701	0	0
MtrunA17_CPg0492711	0	0
MtrunA17_CPg0492761	0	0
MtrunA17_CPg0492781	0	0
MtrunA17_CPg0492791	0	0
MtrunA17_CPg0492851	0	0
MtrunA17_CPg0492881	0	0
MtrunA17_CPg0492891	0	0
MtrunA17_CPg0492961	0	0
MtrunA17_CPg0492981	0	0
MtrunA17_CPg0492991	0	0
MtrunA17_CPg0493001	0	0
MtrunA17_CPg0493021	0	0
MtrunA17_CPg0493041	0	0
MtrunA17_CPg0493131	0	0
MtrunA17_CPg0493211	0	0
MtrunA17_CPg0493221	0	0
MtrunA17_CPg0493231	0	0
MtrunA17_CPg0493371	0	0
MtrunA17_CPg0493411	0	0
MtrunA17_CPg0493441	0	0
MtrunA17_Chr0c01g0488941	0	0
MtrunA17_Chr0c01g0488951	0	0
MtrunA17_Chr0c01g0489051	0	0
MtrunA17_Chr0c01g0489061	0	0
MtrunA17_Chr0c01g0489111	0	0
MtrunA17_Chr0c01g0489121	0	0
MtrunA17_Chr0c01g0489131	0	0
MtrunA17_Chr0c01g0489161	0	0
MtrunA17_Chr0c01g0489171	0	0
MtrunA17_Chr0c01g0489181	0	0.61169065909066
MtrunA17_Chr0c01g0489211	0	0
MtrunA17_Chr0c01g0489231	0	0
MtrunA17_Chr0c01g0489261	0	0
MtrunA17_Chr0c01g0489311	0	0
MtrunA17_Chr0c01g0489321	0	0
MtrunA17_Chr0c01g0489331	0	0
MtrunA17_Chr0c01g0489391	0	0
MtrunA17_Chr0c01g0489401	0	0
MtrunA17_Chr0c01g0489411	0	0
MtrunA17_Chr0c01g0489471	0	0
MtrunA17_Chr0c01g0489481	0	0
MtrunA17_Chr0c01g0489511	0	0
MtrunA17_Chr0c01g0489601	0	0
MtrunA17_Chr0c01g0489641	0	0
MtrunA17_Chr0c02g0489651	0	0
MtrunA17_Chr0c02g0489661	0	0
MtrunA17_Chr0c03g0489881	0	1.04470049098175
MtrunA17_Chr0c03g0489911	0	0
MtrunA17_Chr0c03g0489951	0	0
MtrunA17_Chr0c03g0489971	0	0
MtrunA17_Chr0c03g0489991	0	0
MtrunA17_Chr0c03g0490031	0	0
MtrunA17_Chr0c03g0490061	0	0
MtrunA17_Chr0c04g0492001	0	0
MtrunA17_Chr0c04g0492031	0	0
MtrunA17_Chr0c04g0492041	0	0
MtrunA17_Chr0c04g0492081	0	0
MtrunA17_Chr0c04g0492091	0	0
MtrunA17_Chr0c05g0492121	0	3.07005480581138
MtrunA17_Chr0c05g0492131	0	0.987249254687458
MtrunA17_Chr0c09g0493491	0	0
MtrunA17_Chr0c09g0493501	0	0
MtrunA17_Chr0c12g0493641	0	0
MtrunA17_Chr0c12g0493651	0	0
MtrunA17_Chr0c12g0493661	0	0
MtrunA17_Chr0c12g0493681	0	0
MtrunA17_Chr0c14g0493691	0	0
MtrunA17_Chr0c19g0493771	0	0.775573007238058
MtrunA17_Chr0c19g0493781	0	0
MtrunA17_Chr0c19g0493791	0	0
MtrunA17_Chr0c20g0493811	0	0
MtrunA17_Chr0c20g0493821	0	0
MtrunA17_Chr0c20g0493841	0	0
MtrunA17_Chr0c22g0493871	0	0
MtrunA17_Chr0c22g0493881	0	0
MtrunA17_Chr0c27g0493901	0	0
MtrunA17_Chr0c27g0493911	0	0
MtrunA17_Chr0c27g0493921	0	0
MtrunA17_Chr0c28g0493941	0	0
MtrunA17_Chr0c28g0493951	0	0
MtrunA17_Chr0c28g0493961	0	0
MtrunA17_Chr0c29g0493981	0	0
MtrunA17_Chr0c29g0493991	0	0
MtrunA17_Chr0c29g0494021	0	0
MtrunA17_Chr0c29g0494031	0	0
MtrunA17_Chr0c29g0494041	0	0.84767393241555
MtrunA17_Chr0c31g0494151	0	0
MtrunA17_Chr0c31g0494161	0	0
MtrunA17_Chr0c32g0494171	0	0
MtrunA17_Chr1g0146151	0	0.8306184727091
MtrunA17_Chr1g0146161	0	0
MtrunA17_Chr1g0146171	0	0
MtrunA17_Chr1g0146181	0	0
MtrunA17_Chr1g0146191	0	0
MtrunA17_Chr1g0146201	0	0
MtrunA17_Chr1g0146211	0	0
MtrunA17_Chr1g0146221	0	-0.736610937483386
MtrunA17_Chr1g0146241	0	0
MtrunA17_Chr1g0146281	0	0
MtrunA17_Chr1g0146291	0	0
MtrunA17_Chr1g0146311	0	0
MtrunA17_Chr1g0146321	0	0
MtrunA17_Chr1g0146331	0	0
MtrunA17_Chr1g0146421	0	0
MtrunA17_Chr1g0146441	0	0
MtrunA17_Chr1g0146451	0	0
MtrunA17_Chr1g0146461	0	0
MtrunA17_Chr1g0146481	0	0
MtrunA17_Chr1g0146491	0	0
MtrunA17_Chr1g0146531	0	0
MtrunA17_Chr1g0146551	0	0
MtrunA17_Chr1g0146561	0	0
MtrunA17_Chr1g0146581	0	0
MtrunA17_Chr1g0146591	0	0
MtrunA17_Chr1g0146621	0	0
MtrunA17_Chr1g0146641	0	0
MtrunA17_Chr1g0146671	0	0
MtrunA17_Chr1g0146681	0	0
MtrunA17_Chr1g0146731	0	0
MtrunA17_Chr1g0146771	0	0
MtrunA17_Chr1g0146781	0	0
MtrunA17_Chr1g0146801	0	0
MtrunA17_Chr1g0146811	0	0
MtrunA17_Chr1g0146831	0	0
MtrunA17_Chr1g0146861	0	0
MtrunA17_Chr1g0146881	0	0
MtrunA17_Chr1g0146901	0	0
MtrunA17_Chr1g0146911	0	0
MtrunA17_Chr1g0146921	0	0
MtrunA17_Chr1g0146931	0	0
MtrunA17_Chr1g0147011	0	0
MtrunA17_Chr1g0147021	0	0.795618051033659
MtrunA17_Chr1g0147051	0	0
MtrunA17_Chr1g0147061	0	0
MtrunA17_Chr1g0147071	0	0
MtrunA17_Chr1g0147081	0	0
MtrunA17_Chr1g0147101	0	0
MtrunA17_Chr1g0147111	0	0
MtrunA17_Chr1g0147151	0	0
MtrunA17_Chr1g0147161	0	0
MtrunA17_Chr1g0147171	0	0
MtrunA17_Chr1g0147201	0	0
MtrunA17_Chr1g0147211	0	0
MtrunA17_Chr1g0147221	0	0
MtrunA17_Chr1g0147271	0	0
MtrunA17_Chr1g0147341	0	0
MtrunA17_Chr1g0147361	0	0
MtrunA17_Chr1g0147381	0	0
MtrunA17_Chr1g0147421	0	0
MtrunA17_Chr1g0147481	0	0
MtrunA17_Chr1g0147491	0	0
MtrunA17_Chr1g0147501	0	0
MtrunA17_Chr1g0147511	0	0
MtrunA17_Chr1g0147561	0	0
MtrunA17_Chr1g0147601	0	0
MtrunA17_Chr1g0147611	0	0
MtrunA17_Chr1g0147651	0	0
MtrunA17_Chr1g0147671	0	0
MtrunA17_Chr1g0147691	0	0
MtrunA17_Chr1g0147701	0	0
MtrunA17_Chr1g0147731	0	0
MtrunA17_Chr1g0147741	0	0
MtrunA17_Chr1g0147751	0	0
MtrunA17_Chr1g0147811	0	-1.59102715242071
MtrunA17_Chr1g0147821	0	0
MtrunA17_Chr1g0147881	0	0
MtrunA17_Chr1g0147911	0	0
MtrunA17_Chr1g0147921	0	0
MtrunA17_Chr1g0147931	0	0
MtrunA17_Chr1g0147941	0	0
MtrunA17_Chr1g0147951	0	0
MtrunA17_Chr1g0148001	0	0
MtrunA17_Chr1g0148021	0	-1.40792540490616
MtrunA17_Chr1g0148031	0	2.14431192470731
MtrunA17_Chr1g0148051	0	0
MtrunA17_Chr1g0148071	0	0
MtrunA17_Chr1g0148081	0	0
MtrunA17_Chr1g0148121	0	0
MtrunA17_Chr1g0148131	0	0
MtrunA17_Chr1g0148141	0	0
MtrunA17_Chr1g0148251	0	0
MtrunA17_Chr1g0148271	0	0
MtrunA17_Chr1g0148281	0	0
MtrunA17_Chr1g0148301	0	0
MtrunA17_Chr1g0148321	0	0
MtrunA17_Chr1g0148341	0	0
MtrunA17_Chr1g0148361	0	0
MtrunA17_Chr1g0148391	0	0
MtrunA17_Chr1g0148401	0	0
MtrunA17_Chr1g0148411	0	0
MtrunA17_Chr1g0148421	0	0
MtrunA17_Chr1g0148451	0	0
MtrunA17_Chr1g0148461	1.99113387781926	2.02612934467126
MtrunA17_Chr1g0148481	0	0
MtrunA17_Chr1g0148491	0	0
MtrunA17_Chr1g0148501	0	0
MtrunA17_Chr1g0148511	0	0
MtrunA17_Chr1g0148521	0	3.71052174643906
MtrunA17_Chr1g0148541	0	0
MtrunA17_Chr1g0148561	0	0
MtrunA17_Chr1g0148571	0	0
MtrunA17_Chr1g0148621	0	0
MtrunA17_Chr1g0148641	0	0
MtrunA17_Chr1g0148671	0	0
MtrunA17_Chr1g0148681	0	0
MtrunA17_Chr1g0148731	0	0
MtrunA17_Chr1g0148741	0	0
MtrunA17_Chr1g0148751	0	0
MtrunA17_Chr1g0148771	0	0
MtrunA17_Chr1g0148811	0	0
MtrunA17_Chr1g0148841	0	0
MtrunA17_Chr1g0148881	0	0
MtrunA17_Chr1g0148891	0	0
MtrunA17_Chr1g0148901	0	0
MtrunA17_Chr1g0148911	0	0
MtrunA17_Chr1g0148921	0	0
MtrunA17_Chr1g0148951	0	0
MtrunA17_Chr1g0148961	0	0
MtrunA17_Chr1g0148991	0	0
MtrunA17_Chr1g0149051	0	0
MtrunA17_Chr1g0149101	0	0
MtrunA17_Chr1g0149111	0	0
MtrunA17_Chr1g0149141	0	0
MtrunA17_Chr1g0149171	0	0
MtrunA17_Chr1g0149191	0	0
MtrunA17_Chr1g0149211	0	0
MtrunA17_Chr1g0149221	0	0
MtrunA17_Chr1g0149231	0	0
MtrunA17_Chr1g0149251	0	0
MtrunA17_Chr1g0149261	0	0
MtrunA17_Chr1g0149281	0	0
MtrunA17_Chr1g0149301	0	0
MtrunA17_Chr1g0149311	0	0
MtrunA17_Chr1g0149341	0	-0.593594173678142
MtrunA17_Chr1g0149351	0	0
MtrunA17_Chr1g0149381	0	0
MtrunA17_Chr1g0149401	0	0
MtrunA17_Chr1g0149451	0	0.739315443400401
MtrunA17_Chr1g0149461	0	0
MtrunA17_Chr1g0149491	0	0
MtrunA17_Chr1g0149501	0	0
MtrunA17_Chr1g0149511	0	0
MtrunA17_Chr1g0149561	0	0
MtrunA17_Chr1g0149581	0	0
MtrunA17_Chr1g0149611	0	0
MtrunA17_Chr1g0149621	0	0
MtrunA17_Chr1g0149641	0	0
MtrunA17_Chr1g0149651	0	0
MtrunA17_Chr1g0149671	0	0
MtrunA17_Chr1g0149711	0	0
MtrunA17_Chr1g0149721	0	0
MtrunA17_Chr1g0149751	0	0
MtrunA17_Chr1g0149761	0	0
MtrunA17_Chr1g0149771	0	0
MtrunA17_Chr1g0149781	0	0
MtrunA17_Chr1g0149791	0	0
MtrunA17_Chr1g0149801	0	0
MtrunA17_Chr1g0149811	0	0
MtrunA17_Chr1g0149821	0	0
MtrunA17_Chr1g0149941	0	0
MtrunA17_Chr1g0149961	0	0
MtrunA17_Chr1g0149971	0	0
MtrunA17_Chr1g0150001	0	0
MtrunA17_Chr1g0150031	0	0
MtrunA17_Chr1g0150041	0	0
MtrunA17_Chr1g0150061	0	0
MtrunA17_Chr1g0150071	0	0
MtrunA17_Chr1g0150111	0	0
MtrunA17_Chr1g0150131	0	0
MtrunA17_Chr1g0150151	0	0
MtrunA17_Chr1g0150171	0	0
MtrunA17_Chr1g0150191	0	0
MtrunA17_Chr1g0150221	0	0
MtrunA17_Chr1g0150241	0	0
MtrunA17_Chr1g0150261	0	0
MtrunA17_Chr1g0150271	0	0
MtrunA17_Chr1g0150281	0	0
MtrunA17_Chr1g0150321	0	0
MtrunA17_Chr1g0150331	1.24488738145362	0
MtrunA17_Chr1g0150341	0	0
MtrunA17_Chr1g0150351	0	0
MtrunA17_Chr1g0150371	0	0
MtrunA17_Chr1g0150461	0	0
MtrunA17_Chr1g0150471	0	0
MtrunA17_Chr1g0150511	0	0
MtrunA17_Chr1g0150531	0	4.3524140172316
MtrunA17_Chr1g0150561	0	0
MtrunA17_Chr1g0150581	0	0
MtrunA17_Chr1g0150641	0	0
MtrunA17_Chr1g0150651	0	0
MtrunA17_Chr1g0150681	0	0
MtrunA17_Chr1g0150711	0	0
MtrunA17_Chr1g0150731	0	0
MtrunA17_Chr1g0150741	0	0
MtrunA17_Chr1g0150751	0	0
MtrunA17_Chr1g0150771	0	0
MtrunA17_Chr1g0150781	0	0
MtrunA17_Chr1g0150801	0	0
MtrunA17_Chr1g0150811	0	0
MtrunA17_Chr1g0150821	0	0
MtrunA17_Chr1g0150831	0	0
MtrunA17_Chr1g0150851	0	0
MtrunA17_Chr1g0150941	0	0
MtrunA17_Chr1g0150981	0	0
MtrunA17_Chr1g0151021	0	0
MtrunA17_Chr1g0151041	0	0
MtrunA17_Chr1g0151061	0	0
MtrunA17_Chr1g0151071	0	0
MtrunA17_Chr1g0151081	0	0
MtrunA17_Chr1g0151141	0	0
MtrunA17_Chr1g0151161	0	0
MtrunA17_Chr1g0151181	0	0
MtrunA17_Chr1g0151191	0	0
MtrunA17_Chr1g0151201	0	0
MtrunA17_Chr1g0151221	0	0
MtrunA17_Chr1g0151231	0	0
MtrunA17_Chr1g0151241	0	0
MtrunA17_Chr1g0151251	0	0
MtrunA17_Chr1g0151261	0	0
MtrunA17_Chr1g0151281	0	0
MtrunA17_Chr1g0151301	0	0
MtrunA17_Chr1g0151321	0	0
MtrunA17_Chr1g0151351	0	0
MtrunA17_Chr1g0151361	0	0
MtrunA17_Chr1g0151391	0	0
MtrunA17_Chr1g0151401	0	0
MtrunA17_Chr1g0151411	0	0
MtrunA17_Chr1g0151431	-0.761961942585569	-1.01101080151946
MtrunA17_Chr1g0151461	0	0
MtrunA17_Chr1g0151481	0	0
MtrunA17_Chr1g0151511	0	0
MtrunA17_Chr1g0151531	0	0.83598172394252
MtrunA17_Chr1g0151551	0	0
MtrunA17_Chr1g0151561	0	0
MtrunA17_Chr1g0151581	0	0
MtrunA17_Chr1g0151591	0	0
MtrunA17_Chr1g0151621	0	0
MtrunA17_Chr1g0151631	0	0
MtrunA17_Chr1g0151661	0	0
MtrunA17_Chr1g0151681	0	0
MtrunA17_Chr1g0151691	0	0
MtrunA17_Chr1g0151731	0	0.701891884008961
MtrunA17_Chr1g0151771	0	0
MtrunA17_Chr1g0151781	0	0
MtrunA17_Chr1g0151791	0	0
MtrunA17_Chr1g0151801	0	0
MtrunA17_Chr1g0151811	0	0
MtrunA17_Chr1g0151821	0	0
MtrunA17_Chr1g0151881	0	0
MtrunA17_Chr1g0151911	0	0
MtrunA17_Chr1g0151941	0	0
MtrunA17_Chr1g0151951	0	0
MtrunA17_Chr1g0151961	0	0
MtrunA17_Chr1g0151971	0	0
MtrunA17_Chr1g0152011	0	0
MtrunA17_Chr1g0152021	0	0
MtrunA17_Chr1g0152031	0	0
MtrunA17_Chr1g0152051	0	0
MtrunA17_Chr1g0152061	0	0
MtrunA17_Chr1g0152081	0	0
MtrunA17_Chr1g0152131	0	0
MtrunA17_Chr1g0152141	0	0
MtrunA17_Chr1g0152151	0	0
MtrunA17_Chr1g0152161	0	0
MtrunA17_Chr1g0152171	0	0
MtrunA17_Chr1g0152191	0	0
MtrunA17_Chr1g0152201	0	0
MtrunA17_Chr1g0152221	0	0
MtrunA17_Chr1g0152231	0	0.805329071437963
MtrunA17_Chr1g0152241	0	0
MtrunA17_Chr1g0152291	0	0.589269432311677
MtrunA17_Chr1g0152301	0	0
MtrunA17_Chr1g0152341	0	0
MtrunA17_Chr1g0152351	0	0
MtrunA17_Chr1g0152371	0	0
MtrunA17_Chr1g0152381	0	0
MtrunA17_Chr1g0152401	0	0
MtrunA17_Chr1g0152411	0	0
MtrunA17_Chr1g0152431	0	0
MtrunA17_Chr1g0152461	0	0
MtrunA17_Chr1g0152471	0	0
MtrunA17_Chr1g0152481	0	0
MtrunA17_Chr1g0152491	0	0
MtrunA17_Chr1g0152501	0	0.885822130543985
MtrunA17_Chr1g0152511	0	0
MtrunA17_Chr1g0152551	0	0
MtrunA17_Chr1g0152561	0	0
MtrunA17_Chr1g0152571	0	-1.1665229739074
MtrunA17_Chr1g0152591	0	0
MtrunA17_Chr1g0152651	0	-2.26185065042002
MtrunA17_Chr1g0152661	0	0
MtrunA17_Chr1g0152681	0	0
MtrunA17_Chr1g0152691	0	0
MtrunA17_Chr1g0152701	0	0
MtrunA17_Chr1g0152721	0	0
MtrunA17_Chr1g0152751	0	0
MtrunA17_Chr1g0152761	0	0
MtrunA17_Chr1g0152781	0	0
MtrunA17_Chr1g0152791	0	0
MtrunA17_Chr1g0152811	0	0
MtrunA17_Chr1g0152831	0	0
MtrunA17_Chr1g0152851	0	0
MtrunA17_Chr1g0152871	0	0
MtrunA17_Chr1g0152901	0	0
MtrunA17_Chr1g0152921	0	0
MtrunA17_Chr1g0152931	0	0
MtrunA17_Chr1g0152971	0	0
MtrunA17_Chr1g0153001	0	0
MtrunA17_Chr1g0153011	0	0
MtrunA17_Chr1g0153041	0	0
MtrunA17_Chr1g0153061	0	0
MtrunA17_Chr1g0153131	0	0
MtrunA17_Chr1g0153151	0	0
MtrunA17_Chr1g0153171	0	0
MtrunA17_Chr1g0153181	0	0
MtrunA17_Chr1g0153241	0	0
MtrunA17_Chr1g0153271	0	0
MtrunA17_Chr1g0153281	0	0
MtrunA17_Chr1g0153291	0	0
MtrunA17_Chr1g0153331	0	0
MtrunA17_Chr1g0153371	0	0
MtrunA17_Chr1g0153381	0	0
MtrunA17_Chr1g0153391	0	0
MtrunA17_Chr1g0153431	0	0
MtrunA17_Chr1g0153451	-1.30902606321557	0
MtrunA17_Chr1g0153481	0	0
MtrunA17_Chr1g0153501	0	0
MtrunA17_Chr1g0153511	0	0
MtrunA17_Chr1g0153541	0	0
MtrunA17_Chr1g0153551	0	0
MtrunA17_Chr1g0153561	0	0
MtrunA17_Chr1g0153581	0	0
MtrunA17_Chr1g0153591	0	-0.943109019891675
MtrunA17_Chr1g0153601	0	0
MtrunA17_Chr1g0153651	0	0
MtrunA17_Chr1g0153661	0	0
MtrunA17_Chr1g0153671	0	0
MtrunA17_Chr1g0153681	0	0
MtrunA17_Chr1g0153701	0	0
MtrunA17_Chr1g0153711	0	0
MtrunA17_Chr1g0153721	0	0
MtrunA17_Chr1g0153751	0	0
MtrunA17_Chr1g0153781	0	0
MtrunA17_Chr1g0153791	0	0
MtrunA17_Chr1g0153821	0	4.71379926971705
MtrunA17_Chr1g0153841	0	0
MtrunA17_Chr1g0153871	0	0
MtrunA17_Chr1g0153881	0	0
MtrunA17_Chr1g0153901	0	0
MtrunA17_Chr1g0153911	0	0
MtrunA17_Chr1g0153951	0	0
MtrunA17_Chr1g0153961	0	0
MtrunA17_Chr1g0153981	0	0
MtrunA17_Chr1g0153991	0	0
MtrunA17_Chr1g0154031	0	0
MtrunA17_Chr1g0154041	0	0
MtrunA17_Chr1g0154071	0	0
MtrunA17_Chr1g0154101	0	0
MtrunA17_Chr1g0154111	0	0
MtrunA17_Chr1g0154131	0	0
MtrunA17_Chr1g0154171	0	0
MtrunA17_Chr1g0154191	0	0
MtrunA17_Chr1g0154211	0	0
MtrunA17_Chr1g0154221	0	0
MtrunA17_Chr1g0154241	0	0
MtrunA17_Chr1g0154251	0	0
MtrunA17_Chr1g0154261	0	1.72850677854246
MtrunA17_Chr1g0154281	0	0
MtrunA17_Chr1g0154291	0	0
MtrunA17_Chr1g0154301	0	0
MtrunA17_Chr1g0154311	0	0
MtrunA17_Chr1g0154321	0	0
MtrunA17_Chr1g0154351	0	0
MtrunA17_Chr1g0154361	0	0
MtrunA17_Chr1g0154371	0	0
MtrunA17_Chr1g0154421	0	0
MtrunA17_Chr1g0154431	0	0
MtrunA17_Chr1g0154441	0	0
MtrunA17_Chr1g0154451	0	0
MtrunA17_Chr1g0154461	0	1.93229479828632
MtrunA17_Chr1g0154501	0	0
MtrunA17_Chr1g0154511	0	0
MtrunA17_Chr1g0154521	0	0
MtrunA17_Chr1g0154531	0	0
MtrunA17_Chr1g0154541	0	0
MtrunA17_Chr1g0154551	0	0
MtrunA17_Chr1g0154561	0	0
MtrunA17_Chr1g0154571	0	0
MtrunA17_Chr1g0154581	0	0
MtrunA17_Chr1g0154601	0	0
MtrunA17_Chr1g0154611	2.43758466868916	4.74997408312345
MtrunA17_Chr1g0154621	0	0
MtrunA17_Chr1g0154671	0	0
MtrunA17_Chr1g0154681	0	0
MtrunA17_Chr1g0154731	0	0
MtrunA17_Chr1g0154741	0	0
MtrunA17_Chr1g0154751	0	0
MtrunA17_Chr1g0154851	0	0
MtrunA17_Chr1g0154931	1.24376818277454	0
MtrunA17_Chr1g0154941	0	0
MtrunA17_Chr1g0154951	0	0
MtrunA17_Chr1g0154961	0	0
MtrunA17_Chr1g0154991	0	0
MtrunA17_Chr1g0155001	0	0
MtrunA17_Chr1g0155011	0	0
MtrunA17_Chr1g0155031	0	0
MtrunA17_Chr1g0155041	0	0
MtrunA17_Chr1g0155061	0	0
MtrunA17_Chr1g0155081	0	0
MtrunA17_Chr1g0155101	0	0
MtrunA17_Chr1g0155111	0	0
MtrunA17_Chr1g0155121	0	0
MtrunA17_Chr1g0155131	0	0
MtrunA17_Chr1g0155141	0	0
MtrunA17_Chr1g0155151	0	0
MtrunA17_Chr1g0155161	0	0
MtrunA17_Chr1g0155191	0	0
MtrunA17_Chr1g0155201	0	0
MtrunA17_Chr1g0155211	0	0
MtrunA17_Chr1g0155221	0	0
MtrunA17_Chr1g0155231	0	0
MtrunA17_Chr1g0155251	0	0
