gene	spotinoc_000hrs	spotinoc_002hrs	spotinoc_004hrs	spotinoc_008hrs	spotinoc_010hrs	spotinoc_012hrs	spotinoc_014hrs	spotinoc_016hrs	spotinoc_024hrs	spotinoc_036hrs	spotinoc_048hrs	spotinoc_072hrs	spotinoc_096hrs	spotinoc_120hrs	spotinoc_168hrs
MtrunA17_CPg0492291	0	0	0	0	0	1.26142256735055	0	0	0	0	0	0	0	0	0
MtrunA17_CPg0492311	0	0	0	0	0	1.80084326819513	0	0	0	0	0	0	0	0	0
MtrunA17_CPg0492351	0	0	0	0	0	1.71737626409037	1.90065731320623	0	0	0	0	1.12374168722212	0	0	1.81393514942735
MtrunA17_CPg0492361	0	0	0	0	0	0	0	0	0	0	0	0	1.0557268867023	1.39169015628836	0
MtrunA17_CPg0492371	0	0	0	0	0	0	0	0	0	0	0	1.17633025825272	0	0	0
MtrunA17_CPg0492431	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28570172242004	0
MtrunA17_CPg0492461	0	0	0	0	0	1.08162282855487	0	0	0	0	0	0	0	0	0
MtrunA17_CPg0492514	0	0	0	0	0	0	0	0	0	0	0	1.06754769418209	0	0	0
MtrunA17_CPg0492671	0	0	0	0	0	1.93375330221969	2.51193196448713	0	0	0	0	0	0	0	0
MtrunA17_CPg0492681	0	0	0	0	0	2.9199977084744	0	0	0	-1.14694263496118	-0.808143822114092	-1.42630375254282	-1.50464273608042	0	0
MtrunA17_CPg0492701	0	0	0	0	0	0	0	0	0	0	0	-1.54068098936625	0	0	-2.87191452738948
MtrunA17_CPg0492711	0	0	0	0	0	0	0	0	0	0	0	1.06340428651155	0	0	0
MtrunA17_CPg0492761	0	0	0	0	0	0	0	0	0	1.47347159263047	0	0	0	2.07682102891304	0
MtrunA17_CPg0492781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52179855439799
MtrunA17_CPg0492791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.32250373900011
MtrunA17_CPg0492851	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.34484010872342	0
MtrunA17_CPg0492881	0	0	0	0	0	0	0	0	0	0	0	0	-0.602630791881748	0	0
MtrunA17_CPg0492891	0	0	0	0	0	1.74393199111282	0	0	0	0	0	1.16323866444051	1.21003943130781	0	0
MtrunA17_CPg0492961	0	0	0	0	0	1.30568517929068	0	0	0	0	0	0	-0.810371451871633	0	0
MtrunA17_CPg0492981	0	0	0	0	0	0	0	0	0	0	0	0.895733034189263	0	0	0
MtrunA17_CPg0492991	0	0	0	0	0	1.2857375861645	0	0	0	0	0	0	0	0	0
MtrunA17_CPg0493001	0	0	0	0	0	0	0	0	0	0	0.896441549547208	0	1.10248524205574	0	0
MtrunA17_CPg0493021	0	0	0	0	0	0	0	0	0	0	0	1.62640966745216	1.35773936188367	0	0
MtrunA17_CPg0493041	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.32667764992833	0
MtrunA17_CPg0493131	0	0	0	0	0	0	0	0	0	0	-0.667643408140313	0	-1.06790466400485	-1.41541154438385	-0.806719086526689
MtrunA17_CPg0493211	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.11900879918339	-2.0436536243611
MtrunA17_CPg0493221	0	0	0	0	0	0	0	0	0	-0.881419284211582	0	0	0	-2.11679458732938	-1.79397573852804
MtrunA17_CPg0493231	0	0	0	0	0	0	1.77683969046515	0	0	0	0	0	0	0	0
MtrunA17_CPg0493371	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1045804663958	0
MtrunA17_CPg0493411	0	0	0	0	0	1.70180188244676	2.13681209872125	0	0	0	0	0	0	0	0
MtrunA17_CPg0493441	0	0	0	0	0	0	2.2585422094574	0	0	0	0	0	0	-2.90938726730786	-1.22827556689587
MtrunA17_Chr0c01g0488941	0	0	0	0	0	1.40924137353958	2.49844057669746	0	0	0	0	1.83933467425372	1.66796279145694	0	0
MtrunA17_Chr0c01g0488951	0	0	0	0	0	0	0	0	0	0	0	1.82309866465983	1.39106556935207	0	0
MtrunA17_Chr0c01g0489051	0	0	0	0	0	1.46034034061279	2.52350996859573	0	0	0	0	1.93144205757731	1.6946606569759	0	0
MtrunA17_Chr0c01g0489061	0	0	0	0	0	0	0	0	0	0	0	1.82309862928055	1.3921867963354	0	0
MtrunA17_Chr0c01g0489111	0	0	0	0	0	0	1.5919480480631	0	0	0	0	1.4038997478223	1.64443026265762	0	0
MtrunA17_Chr0c01g0489121	0	0	0	0	0	0	0	-0.805552542326179	-0.835240142478153	0	0	1.82365539009267	1.17012631742265	0	0
MtrunA17_Chr0c01g0489131	0	0	0	0	0	0	0	0	0	0	-1.36681180446335	0	0	-1.33036397361088	0
MtrunA17_Chr0c01g0489161	0	0	0	0	0	0	0	0	-0.838253071975336	-1.07717115849957	-0.719082072637731	-0.661444738939414	-0.871607217047748	-1.40287496347233	0
MtrunA17_Chr0c01g0489171	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.881118391992412	0
MtrunA17_Chr0c01g0489181	0	0	0	0	0	0	0	-0.606787285178324	0	-1.07057056216928	0	0	0	0	0
MtrunA17_Chr0c01g0489211	0	0	0	0	0	0	0	0	0	0	0	-0.960867679720116	-1.06837870059787	-3.01325595308477	-2.95389955464213
MtrunA17_Chr0c01g0489231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.44852815799133
MtrunA17_Chr0c01g0489261	0	0	0	0	0	0	0	0	0	0	-0.718910959399785	0	0	-1.62782140885901	-3.39270790130618
MtrunA17_Chr0c01g0489311	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.56508853425664	-2.2793915840894
MtrunA17_Chr0c01g0489321	0	0	0	0	0	0	0	0	0	0	0	0.857923350084954	0.866125188865069	0	0
MtrunA17_Chr0c01g0489331	0	0	0	0	0	0	0	0	0	0	0	-3.02652214729355	0	0	0
MtrunA17_Chr0c01g0489391	0	0	0	0	0	0	0	0.754774447512069	0.906298138526004	1.07338222629351	0.65001148311955	0	0	0	0
