geneID	cluster_number	cluster_type	LSH_ChIP_target	LSH_ChIP_annotation	LSH_OE_DEGtype	LSH_OE_log2FC	LSH_OE_adjp	lsh1lsh2_24hrs_DEGtype	lsh1lsh2_24hrs_log2FC	lsh1lsh2_24hrs_adjp	lsh1lsh2_72hrs_DEGtype	lsh1lsh2_72hrs_log2FC	lsh1lsh2_72hrs_adjp	Mtr5.0_gene_name	Mtr5.0_description	Mtr5.0_GOterm_IDs	Mtr4.0_geneID	Mtr4.0_genename	Mtr4.0_description	Mtr4.0_GOterm_IDs	Mtr4and5_combined_GOterm_IDs	Mtr4and5_combined_GOterms
MtrunA17_Chr1g0147051	cluster2	down	high	Promoter (1-2kb)	notDEG	-0.00932705136979516	0.980615897394969	notDEG	-0.30182567989087	0.629646456454151	notDEG	-0.570861373632829	0.0278973198752855	NA	Putative pectinesterase	GO:0045490;GO:0043086;GO:0045330;GO:0005618;GO:0016021;GO:0046910;GO:0042545;GO:0030599	Medtr1g008140	PMEPCRF	pectinesterase/pectinesterase inhibitor	GO:0042545;GO:0048553;GO:0045490;GO:0071555	GO:0030599;GO:0005618;GO:0071555;GO:0048553;GO:0045490;GO:0046910;GO:0043086;GO:0045330;GO:0042545;GO:0016021	pectin methylesterase activity;cell wall;cellular cell wall organization;negative regulation of catalytic activity;pectin degradation;pectinesterase inhibitor activity;negative regulation of enzyme activity;aspartyl esterase activity;cell wall modification;membrane
MtrunA17_Chr1g0147111	cluster2	down	high	Promoter (<=1kb)	notDEG	0.360291104874072	0.000447066823967953	notDEG	-0.0405823899140339	1.0	notDEG	0.0112962389246366	1.0	NA	Putative transcription factor C2C2-CO-like family	GO:0005634;GO:0005515	Medtr1g008220	NA	CCT motif protein	NA	GO:0005634;GO:0005515	cell nucleus;protein amino acid binding
MtrunA17_Chr1g0147491	cluster2	down	high	Intron (MtrunA17_Chr1g0147481/MtrunA17_Chr1g0147481, intron 15 of 18)	notDEG	0.148074995093884	0.20128852265106	notDEG	-0.280650872353452	0.38699088973021	notDEG	-0.210387131143742	0.315512300759304	MtbZIP-627	bZIP transcription factor 627 (TC120540)	GO:0003700;GO:0006355;GO:0016301	Medtr1g008990	BZO2H2	BZIP transcription factor	GO:0006355;GO:0071333	GO:0003700;GO:0006355;GO:0016301;GO:0071333	sequence-specific DNA binding transcription factor activity;regulation of transcription, DNA-templated;phosphokinase activity;cellular response to glucose stimulus
MtrunA17_Chr1g0147941	cluster2	down	moderate	Promoter (<=1kb)	notDEG	-0.517556980783747	0.140191827402157	notDEG	-0.049878484205089	1.0	notDEG	-0.217786243130137	0.786109194960258	NA	Putative Calmodulin-binding domain, plant	GO:0005516	Medtr1g009660	NA	hypothetical protein	NA	GO:0005516	calmodulin binding
MtrunA17_Chr1g0149581	cluster2	down	moderate	Promoter (<=1kb)	notDEG	-0.233921287900427	0.0669086843305709	notDEG	-0.20032135462563	0.734649674183492	notDEG	-0.035902517558801	0.953820584094186	MtSDG4	Histone methyltransferase SDG subfamily	GO:0035097;GO:0005515;GO:0042800;GO:0046872;GO:0045893;GO:0051568	Medtr1g012870	NA	hypothetical protein	NA	GO:0005515;GO:0035097;GO:0045893;GO:0046872;GO:0051568;GO:0042800	protein amino acid binding;histone methyltransferase complex;upregulation of transcription, DNA-dependent;metal binding;histone lysine H3 K4 methylation;histone-H3K4 methyltransferase activity
MtrunA17_Chr1g0150681	cluster2	down	moderate	Exon (repeat_region175.1/repeat_region175.1, exon 1 of 1)	notDEG	NA	NA	notDEG	0.0	1.0	notDEG	0.0	1.0	NA	hypothetical protein	NA	NA	NA	NA	NA		NA
MtrunA17_Chr1g0151461	cluster2	down	moderate	Promoter (1-2kb)	up(cluster_nomatch)	2.25769809282159	0.00334929590158325	notDEG	0.116185249571841	1.0	notDEG	-0.355974680582917	0.707093344721832	NA	Putative transcription factor C2C2-GATA family	GO:0008270;GO:0043565;GO:0006355	Medtr1g016170	GNC	GATA zinc finger protein	GO:0006355;GO:0006366;GO:0050895;GO:0009416;GO:0009646;GO:0009658;GO:0009735;GO:0009739;GO:0009740;GO:0009909;GO:0009910;GO:0010187;GO:0010255;GO:0010380;GO:0010468;GO:0010557;GO:0010628;GO:0030154;GO:0031328;GO:0051171;GO:0051173;GO:0099402;GO:1901698	GO:0009740;GO:0050895;GO:0009646;GO:0009739;GO:0010255;GO:0099402;GO:0009910;GO:0010557;GO:0051173;GO:0006355;GO:1901698;GO:0009735;GO:0009658;GO:0008270;GO:0009909;GO:0010628;GO:0051171;GO:0010187;GO:0031328;GO:0009416;GO:0043565;GO:0006366;GO:0010380;GO:0030154;GO:0010468	gibberellic acid signaling;circadian rhythm;response to absence of light;response to gibberellin stimulus;glucose mediated signalling;development of a plant organ;downregulation of flower development;positive regulation of macromolecule biosynthetic process;upregulation of nitrogen metabolic process;regulation of transcription, DNA-templated;response to nitrogen molecular entity;response to cytokinin stimulus;chloroplast organisation;Zn binding;regulation of flower development;positive regulation of gene expression;regulation of nitrogen metabolism;downregulation of seed germination;upregulation of cellular biosynthetic process;response to light stimulus;sequence specific DNA binding;transcription from RNA polymerase II promoter;regulation of chlorophyll biosynthetic process;cell differentiation;regulation of gene expression
MtrunA17_Chr1g0151621	cluster2	down	high	Promoter (<=1kb)	notDEG	0.572324548414233	0.0319950958378388	notDEG	-0.216365737673929	0.740854881277379	notDEG	-0.210258168869159	0.498343268486613	NA	Putative EF-hand domain, calcineurin B	GO:0016021;GO:0005509;GO:0019900;GO:0019722	Medtr1g016430	SCABP8	calcineurin B-like protein 4-1	GO:0000271;GO:0009825;GO:0009932;GO:0010817;GO:0019722;GO:0042538;GO:0043266;GO:0043481;GO:0048767;GO:0071555	GO:0042538;GO:0043481;GO:0009825;GO:0009932;GO:0071555;GO:0019900;GO:0043266;GO:0010817;GO:0019722;GO:0000271;GO:0005509;GO:0048767;GO:0016021	response to hyperosmotic salt stress;anthocyanin accumulation in tissues in response to UV light;cell growth in three dimensions;cell tip growth;cellular cell wall organization;kinase binding;regulation of potassium transport;regulation of hormone levels;calcium-mediated signalling;polysaccharide synthesis;calcium ion binding;root hair elongation;membrane
MtrunA17_Chr1g0152031	cluster2	down	moderate	Promoter (<=1kb)	notDEG	0.292847022339144	0.0082799779625847	notDEG	-0.116947668287081	0.771045631788354	notDEG	-0.389091431466892	0.00161760455159486	NA	Putative calcium-dependent channel, 7TM region phosphate	GO:0005227;GO:0098655;GO:0016021;GO:0005886	Medtr1g017170	NA	ERD (early-responsive to dehydration stress) family protein	NA	GO:0098655;GO:0005227;GO:0005886;GO:0016021	monoatomic cation transmembrane transport;calcium activated cation channel activity;plasmalemma;membrane
MtrunA17_Chr1g0152761	cluster2	down	high	Promoter (<=1kb)	notDEG	-0.185843799374977	0.42195712728464	notDEG	0.0071110389354083	1.0	notDEG	-0.332140218735502	0.108513296182397	NA	Putative acyl-CoA-binding protein, ACBP	GO:0000062;GO:0008289	Medtr1g418545	NA	acyl-CoA-binding domain protein	NA	GO:0008289;GO:0000062	lipid binding;fatty-acyl-coenzyme A binding
