geneID	cluster_number	cluster_type	LSH_ChIP_target	LSH_ChIP_annotation	LSH_OE_DEGtype	LSH_OE_log2FC	LSH_OE_adjp	lsh1lsh2_24hrs_DEGtype	lsh1lsh2_24hrs_log2FC	lsh1lsh2_24hrs_adjp	lsh1lsh2_72hrs_DEGtype	lsh1lsh2_72hrs_log2FC	lsh1lsh2_72hrs_adjp	Mtr5.0_gene_name	Mtr5.0_description	Mtr5.0_GOterm_IDs	Mtr4.0_geneID	Mtr4.0_genename	Mtr4.0_description	Mtr4.0_GOterm_IDs	Mtr4and5_combined_GOterm_IDs	Mtr4and5_combined_GOterms
MtrunA17_Chr1g0149111	cluster1	up	moderate	Promoter (<=1kb)	notDEG	0.149880675711513	0.390912747620342	notDEG	0.0482476625609445	0.997436925776293	notDEG	0.208439292456578	0.367980060186766	NA	Putative mitochondrial carrier protein	GO:0016021;GO:0055085	Medtr1g012030	NA	substrate carrier family protein	GO:0006839;GO:0090662	GO:0055085;GO:0006839;GO:0016021;GO:0090662	membrane transport;mitochondrial transport;membrane;transmembrane transport
MtrunA17_Chr1g0149671	cluster1	up	moderate	Promoter (<=1kb)	notDEG	-0.126194921823258	0.416344953154388	notDEG	0.271818505349875	0.572378172316631	notDEG	0.292237623898423	0.226048918273114	NA	Putative ribosome biogenesis protein BRX1	GO:0005730;GO:0019843;GO:0000027;GO:0006364	Medtr1g012990	NA	ribosomal RNA processing brix domain protein	NA	GO:0005730;GO:0000027;GO:0019843;GO:0006364	nucleolus;ribosomal large subunit assembly;rRNA binding;rRNA processing
MtrunA17_Chr1g0153181	cluster1	up	moderate	Promoter (<=1kb)	notDEG	0.143647559209472	0.0637291178342211	notDEG	0.22742173265596	0.700261677612826	notDEG	0.376126590262874	0.120313537538768	NA	Putative polyadenylate binding protein, human types 1, 2, 3, 4	GO:0005634;GO:0008143;GO:0005829;GO:0008266;GO:1990904;GO:0003730	Medtr1g019150	NA	polyadenylate-binding protein	GO:0006397;GO:0006445;GO:0051028	GO:0008143;GO:0006445;GO:0051028;GO:0006397;GO:0003730;GO:0008266;GO:0005634;GO:1990904;GO:0005829	polyadenylate binding;regulation of translation;mRNA transport;mRNA processing;mRNA 3' UTR binding;poly;cell nucleus;RNP;cytosol
MtrunA17_Chr1g0153871	cluster1	up	moderate	Promoter (<=1kb)	notDEG	0.11718904610378	0.350043676234794	notDEG	0.251725357153403	0.695417097061694	notDEG	0.243893911352914	0.420794431459429	NA	Putative RNA recognition motif domain, nucleotide-binding alpha-beta plait domain superfamily	GO:0005829;GO:0003729	Medtr1g020080	NA	polyadenylate-binding protein RBP47C	NA	GO:0005829;GO:0003729	cytosol;mRNA binding
MtrunA17_Chr1g0154321	cluster1	up	high	Promoter (1-2kb)	notDEG	NA	NA	notDEG	-1.64100537619059	0.545672631544075	notDEG	2.70700460236572	0.199197172955842	NA	Putative protein kinase RLK-Pelle-DLSV family	GO:0005524;GO:0016021;GO:0004674;GO:0006468;GO:0005886	Medtr0341s0020;Medtr1g021630	NA	cysteine-rich receptor-kinase-like protein	GO:0006468;GO:0042829;GO:0016310;GO:0042830	GO:0016310;GO:0005524;GO:0042829;GO:0005886;GO:0006468;GO:0042830;GO:0004674;GO:0016021	phosphorylation;MgATP binding;defense response;plasmalemma;protein amino acid phosphorylation;defense response to bacterium;protein serine/threonine kinase activity;membrane
MtrunA17_Chr1g0155011	cluster1	up	high	Promoter (<=1kb)	notDEG	-0.0692819293325962	0.410380458993899	notDEG	0.260141452725473	0.572382151567467	notDEG	0.329157225596253	0.139049903232522	NA	Putative ribosomal protein L13e	GO:0003723;GO:0003735;GO:0022625;GO:0006412	Medtr1g022165	RSU2	60S ribosomal L13-like protein	GO:0043037	GO:0003735;GO:0003723;GO:0022625;GO:0043037;GO:0006412	structural constituent of ribosome;RNA binding;cytosolic large ribosomal subunit;translation;protein translation
MtrunA17_Chr1g0155121	cluster1	up	moderate	Promoter (<=1kb)	down(cluster_nomatch)	-1.78210126408034	0.000602442812693453	notDEG	0.117645376417895	1.0	notDEG	-0.672557657131765	0.590408908222459	NA	Putative AAA+ ATPase domain, ATPase, AAA-type, core, AAA-type ATPase domain-containing protein	GO:0016020;GO:0005524;GO:0016787;GO:0016887	Medtr1g022245	NA	P-loop nucleoside triphosphate hydrolase superfamily protein	NA	GO:0016787;GO:0005524;GO:0016020;GO:0016887	hydrolase activity;MgATP binding;membrane;ATP phosphohydrolase activity
MtrunA17_Chr1g0155631	cluster1	up	high	Promoter (<=1kb)	notDEG	0.1020861518817	0.269917847685914	notDEG	0.39534201163222	0.38699088973021	notDEG	0.166754474491799	0.632522178744015	NA	Putative ribosomal protein S3	GO:0005634;GO:0003723;GO:0003735;GO:0022627;GO:0006412	Medtr1g023000	NA	40S ribosomal S3-like protein	GO:0006281;GO:0043037	GO:0003735;GO:0003723;GO:0006281;GO:0022627;GO:0043037;GO:0005634;GO:0006412	structural constituent of ribosome;RNA binding;DNA repair;cytosolic small ribosomal subunit;translation;cell nucleus;protein translation
MtrunA17_Chr1g0159251	cluster1	up	high	Promoter (1-2kb)	notDEG	NA	NA	notDEG	-0.454322814024468	0.978317273811231	notDEG	-0.623924994555928	0.7282118271684	NA	putative protein	GO:0016020	NA	NA	NA	NA	GO:0016020	membrane
MtrunA17_Chr1g0165131	cluster1	up	high	Promoter (1-2kb)	notDEG	0.128575838216736	0.42097961619295	notDEG	0.133799547189565	0.896079986085693	notDEG	0.354550407771637	0.167203506452651	NA	Putative methyltransferase	GO:0016274;GO:0035246	NA	NA	NA	NA	GO:0016274;GO:0035246	PRMT activity;peptidyl-arginine N-methylation
MtrunA17_Chr1g0180331	cluster1	up	moderate	Promoter (<=1kb)	notDEG	0.112943789294228	0.833956153697364	notDEG	0.3476629884823	0.972848154753324	notDEG	-0.91253046540737	0.719736324025545	NA	Putative carbonic anhydrase	GO:0009570;GO:0016021;GO:0004089;GO:0008270;GO:0006730	Medtr1g062860	NA	eukaryotic-type carbonic anhydrase	GO:0019754	GO:0009570;GO:0019754;GO:0008270;GO:0006730;GO:0004089;GO:0016021	chloroplast stroma;one-carbon metabolic process;Zn binding;one-carbon transfer metabolism;carbonic anhydrase activity;membrane
MtrunA17_Chr1g0183341	cluster1	up	high	Promoter (<=1kb)	notDEG	0.19863479820651	0.0591173486929691	notDEG	0.473118487722002	0.501087646278056	notDEG	0.503808739387064	0.181497718609924	NA	Putative ribosomal protein L14P	GO:0003735;GO:0003729;GO:0022625;GO:0005730;GO:0070180;GO:0006412	Medtr1g069585	emb2171	60S ribosomal L23-like protein	GO:0043037	GO:0005730;GO:0003735;GO:0003729;GO:0070180;GO:0022625;GO:0043037;GO:0006412	nucleolus;structural constituent of ribosome;mRNA binding;LSU rRNA binding;cytosolic large ribosomal subunit;translation;protein translation
MtrunA17_Chr1g0189991	cluster1	up	high	Promoter (<=1kb)	notDEG	-0.133984013494083	0.345819805919077	notDEG	0.28914098288622	0.64240531757393	notDEG	0.436373405429699	0.105828435054166	NA	Putative nucleic acid-binding, exosome complex component CSL4	GO:0008519;GO:0000176;GO:0003723;GO:0072488;GO:0005737;GO:0016021;GO:0006396	Medtr1g079767	NA	nucleic acid-binding, OB-fold-like protein	NA	GO:0072488;GO:0005737;GO:0008519;GO:0003723;GO:0006396;GO:0016021;GO:0000176	ammonium membrane transport;cytoplasm;ammonium transmembrane transporter activity;RNA binding;RNA processing;membrane;nuclear exosome multienzyme ribonuclease complex
MtrunA17_Chr1g0193011	cluster1	up	moderate	Promoter (2-3kb)	up(cluster_match)	1.64993710832083	3.08992509705579e-05	notDEG	0.160358002235059	0.97479296083815	notDEG	-0.24546094039428	0.739117079349373	NA	Putative inositol 3-alpha-galactosyltransferase	GO:0005737;GO:0047216;GO:0006012	Medtr1g084660;Medtr1g084670	NA	galactinol synthase	GO:0044723;GO:0006012;GO:0009651	GO:0047216;GO:0005737;GO:0044723;GO:0006012;GO:0009651	inositol 1-alpha-galactosyltransferase activity;cytoplasm;carbohydrate metabolic process;galactose metabolism;salinity response
MtrunA17_Chr1g0193861	cluster1	up	moderate	Promoter (<=1kb)	up(cluster_match)	0.832683311194769	0.0155855664465745	notDEG	-0.0376749769879323	1.0	notDEG	0.137114838586809	0.886072624341938	NA	Putative transcription factor interactor and regulator AUX-IAA family	GO:0005634;GO:0005515;GO:0006355;GO:0009734	Medtr1g085750	IAA30	auxin-responsive AUX/IAA family protein	GO:0006351;GO:0006355	GO:0005515;GO:0009734;GO:0006355;GO:0006351;GO:0005634	protein amino acid binding;auxin signaling;regulation of transcription, DNA-templated;transcription, DNA-templated;cell nucleus
MtrunA17_Chr1g0196011	cluster1	up	moderate	Promoter (1-2kb)	notDEG	NA	NA	notDEG	0.0	1.0	notDEG	0.0	1.0	NA	Putative protein kinase RLK-Pelle-LRR-XII-1 family	GO:0005524;GO:0005515;GO:0016021;GO:0046777;GO:0004674;GO:0005886;GO:0009755	Medtr1g088935	NA	LRR receptor-like kinase family protein	GO:0006468;GO:0016310	GO:0046777;GO:0016310;GO:0005515;GO:0005524;GO:0005886;GO:0006468;GO:0004674;GO:0016021;GO:0009755	protein amino acid autophosphorylation;phosphorylation;protein amino acid binding;MgATP binding;plasmalemma;protein amino acid phosphorylation;protein serine/threonine kinase activity;membrane;hormone mediated signalling
MtrunA17_Chr1g0198681	cluster1	up	high	Promoter (2-3kb)	notDEG	-0.274863240963826	0.162541533180161	notDEG	-0.185855302569194	0.833929729041626	notDEG	-0.261833477761086	0.396792931163901	NA	Putative transferase	GO:0016021;GO:0004674;GO:0006468	Medtr1g093630	NA	carbohydrate-binding protein of the ER protein	NA	GO:0004674;GO:0016021;GO:0006468	protein serine/threonine kinase activity;membrane;protein amino acid phosphorylation
MtrunA17_Chr1g0201721	cluster1	up	high	Promoter (<=1kb)	notDEG	0.0764076301111648	0.362382589205892	notDEG	0.453551399725783	0.266756693399613	notDEG	0.526913277547456	0.0320155122015684	NA	Putative ribosomal protein L3	GO:0003723;GO:0003735;GO:0046872;GO:0016021;GO:0016760;GO:0030244;GO:0022625;GO:0071555;GO:0000027;GO:0005886;GO:0006412	Medtr1g098540	RPL3A	60S ribosomal protein L3B	GO:0000027;GO:0043037	GO:0003735;GO:0000027;GO:0003723;GO:0071555;GO:0030244;GO:0016760;GO:0022625;GO:0043037;GO:0046872;GO:0005886;GO:0016021;GO:0006412	structural constituent of ribosome;ribosomal large subunit assembly;RNA binding;cellular cell wall organization;cellulose synthesis;cellulose synthase ;cytosolic large ribosomal subunit;translation;metal binding;plasmalemma;membrane;protein translation
MtrunA17_Chr1g0202661	cluster1	up	high	Promoter (<=1kb)	up(cluster_match)	0.698056935196246	7.47711998761064e-08	notDEG	0.0997159860683999	0.951594131752668	notDEG	0.161996979770198	0.630258511309903	NA	Putative beta-carotene 3-hydroxylase	GO:0016021;GO:0005506;GO:0016491;GO:0008610	Medtr1g100070	NA	beta-carotene hydroxylase	GO:0006633;GO:0008610;GO:0016117;GO:0016119;GO:0016122;GO:0016123;GO:0055114	GO:0016122;GO:0016123;GO:0016117;GO:0006633;GO:0055114;GO:0016119;GO:0008610;GO:0005506;GO:0016021;GO:0016491	xanthophyll metabolism;xanthophyll synthesis;carotenoid synthesis;fatty acid synthesis;oxidoreductase process;carotene metabolism;lipogenesis;iron binding;membrane;redox activity
MtrunA17_Chr1g0203191	cluster1	up	high	Promoter (<=1kb)	notDEG	-0.305747555862913	0.00590940021487178	notDEG	0.367402855970697	0.612970610773932	notDEG	0.11748817904449	0.828063887823183	NA	Putative transcription factor interactor and regulator CCHC(Zn) family	GO:0003676;GO:0008270	NA	NA	NA	NA	GO:0008270;GO:0003676	Zn binding;nucleic acid binding
MtrunA17_Chr1g0203201	cluster1	up	moderate	Promoter (<=1kb)	notDEG	-0.240130258311151	0.00829320665338255	notDEG	0.292489377672919	0.550904109945027	notDEG	0.215799643193493	0.433018210343044	NA	Putative transcription factor interactor and regulator CCHC(Zn) family	GO:0005737;GO:0015629;GO:0003676;GO:0008270;GO:0051015;GO:0030042	Medtr1g101190	NA	cofilin/actin-depolymerizing factor-like protein	GO:0030042	GO:0005737;GO:0030042;GO:0051015;GO:0008270;GO:0003676;GO:0015629	cytoplasm;actin depolymerization;F-actin binding;Zn binding;nucleic acid binding;actin cytoskeleton
