geneID	cluster_number	cluster_type	LSH_ChIP_target	LSH_ChIP_annotation	LSH_OE_DEGtype	LSH_OE_log2FC	LSH_OE_adjp	lsh1lsh2_24hrs_DEGtype	lsh1lsh2_24hrs_log2FC	lsh1lsh2_24hrs_adjp	lsh1lsh2_72hrs_DEGtype	lsh1lsh2_72hrs_log2FC	lsh1lsh2_72hrs_adjp	Mtr5.0_gene_name	Mtr5.0_description	Mtr5.0_GOterm_IDs	Mtr4.0_geneID	Mtr4.0_genename	Mtr4.0_description	Mtr4.0_GOterm_IDs	Mtr4and5_combined_GOterm_IDs	Mtr4and5_combined_GOterms
MtrunA17_Chr1g0161771	cluster2	down	high	Promoter (<=1kb)	down(cluster_match)	-1.67361926901685	7.60400804434386e-21	notDEG	0.0397910048700989	1.0	notDEG	-0.487335066229936	0.175679346796778	NA	Putative Extensin domain-containing protein	GO:0016021;GO:0005199;GO:0009664	Medtr1g033100	NA	pollen protein Ole E I-like protein	GO:0009664	GO:0009664;GO:0016021;GO:0005199	plant-type cell wall organisation;membrane;structural constituent of cell wall
MtrunA17_Chr1g0193181	cluster2	down	high	Promoter (<=1kb)	down(cluster_match)	-0.725040717497207	3.86725665493061e-06	notDEG	0.145945974212932	0.884491472331357	notDEG	-0.0368540891450054	0.965583156659622	NA	Putative isopenicillin-N epimerase	GO:0008270;GO:0009000;GO:0045439	Medtr1g484920	NA	isopenicillin N epimerase-like protein	NA	GO:0045439;GO:0009000;GO:0008270	isopenicillin N epimerase activity;selenocysteine lyase activity;Zn binding
MtrunA17_Chr1g0197871	cluster2	down	moderate	Promoter (<=1kb)	down(cluster_match)	-1.46899327730918	3.1925860119724e-06	notDEG	-0.133564476549563	1.0	notDEG	0.0	1.0	MtCYP76X13	Cytochrome P450 monooxygenase	GO:0005506;GO:0102811;GO:0016021;GO:0020037	Medtr1g091003	NA	cytochrome P450 family protein	GO:0055114	GO:0102811;GO:0020037;GO:0055114;GO:0005506;GO:0016021	geraniol 10-hydroxylase activity;haem binding;oxidoreductase process;iron binding;membrane
MtrunA17_Chr1g0201331	cluster2	down	high	Promoter (<=1kb)	down(cluster_match)	-1.13787768320523	3.26900434472993e-26	notDEG	0.0836463585026563	0.966538788486075	notDEG	-0.113477927944766	0.755636498562026	NA	Putative major intrinsic protein	GO:0015267;GO:0055085;GO:0016021	Medtr1g097840	NLM8	major intrinsic protein (MIP) family transporter	GO:0044765;GO:0006833;GO:0009992;GO:0010036;GO:0015700;GO:0046685;GO:0090662;GO:0080029	GO:0015267;GO:0046685;GO:0044765;GO:0055085;GO:0006833;GO:0010036;GO:0009992;GO:0080029;GO:0015700;GO:0016021;GO:0090662	nonselective channel activity;response to arsenic;transport;membrane transport;water transport;response to boron;cellular water homeostasis;cellular response to boron levels;arsenite transport;membrane;transmembrane transport
MtrunA17_Chr2g0277031	cluster2	down	high	Promoter (<=1kb)	down(cluster_match)	-1.06534379983839	0.00133776119930818	notDEG	1.58487245461353	0.74005646816958	notDEG	-2.46105112031598	0.182290237828237	NA	Putative PB1 domain-containing protein	GO:0005515	Medtr2g005700	NA	PB1 domain protein	GO:0006468	GO:0005515;GO:0006468	protein amino acid binding;protein amino acid phosphorylation
MtrunA17_Chr2g0287811	cluster2	down	high	Promoter (<=1kb)	down(cluster_match)	-1.55414161174191	0.00283095402848949	notDEG	0.204271613538783	0.930692375314237	notDEG	-0.215036750724862	0.762849071110245	NA	Putative nepenthesin	GO:0004190;GO:0006508	Medtr2g022430	NA	xyloglucanase-specific endoglucanase inhibitor protein	GO:0006508	GO:0006508;GO:0004190	peptidolysis;aspartic endopeptidase activity
MtrunA17_Chr2g0299761	cluster2	down	moderate	Promoter (<=1kb)	down(cluster_match)	-0.73888720952653	0.036839526231833	notDEG	0.721937981538371	0.831541310523138	notDEG	-0.718438205008466	0.617729385204178	NA	Putative harbinger transposase-derived nuclease domain, nuclease HARBI1	GO:0004518;GO:0046872	NA	NA	NA	NA	GO:0004518;GO:0046872	nuclease activity;metal binding
MtrunA17_Chr2g0321931	cluster2	down	high	Distal Intergenic	down(cluster_match)	-1.10861379272452	1.72297641300595e-09	notDEG	0.564821306535757	0.928844295143413	notDEG	-1.21163191902163	0.63981959100558	NA	Putative RNA-directed DNA polymerase	GO:0003676;GO:0003964;GO:0008270;GO:0016491;GO:0050660;GO:0006278;GO:0015074	NA	NA	NA	NA	GO:0015074;GO:0050660;GO:0003964;GO:0008270;GO:0006278;GO:0003676;GO:0016491	DNA integration;flavine-adenine dinucleotide binding;RNA-directed DNA polymerase activity;Zn binding;RNA-dependent DNA biosynthetic process;nucleic acid binding;redox activity
MtrunA17_Chr3g0111751	cluster2	down	high	Promoter (<=1kb)	down(cluster_match)	-2.04760543263316	8.47586136368102e-22	notDEG	0.023894753225792	1.0	notDEG	0.101393873252479	0.865065200057039	NA	hypothetical protein	GO:0016020	NA	NA	NA	NA	GO:0016020	membrane
MtrunA17_Chr3g0113811	cluster2	down	moderate	Promoter (<=1kb)	down(cluster_match)	-0.669471865077872	8.68140527818272e-06	notDEG	0.403912364376533	0.490772662231423	notDEG	-0.207411210066309	0.58674907561754	NA	Putative transcription factor C2H2 family	GO:0016021;GO:0016567	Medtr3g071300	NA	zinc finger, C3HC4 type (RING finger) protein	GO:0016567;GO:0043161	GO:0043161;GO:0016021;GO:0016567	proteasomal ubiquitin-dependent protein degradation;membrane;protein ubiquitylation
