geneID	cluster_number	cluster_type	LSH_ChIP_target	LSH_ChIP_annotation	LSH_OE_DEGtype	LSH_OE_log2FC	LSH_OE_adjp	lsh1lsh2_24hrs_DEGtype	lsh1lsh2_24hrs_log2FC	lsh1lsh2_24hrs_adjp	lsh1lsh2_72hrs_DEGtype	lsh1lsh2_72hrs_log2FC	lsh1lsh2_72hrs_adjp	Mtr5.0_gene_name	Mtr5.0_description	Mtr5.0_GOterm_IDs	Mtr4.0_geneID	Mtr4.0_genename	Mtr4.0_description	Mtr4.0_GOterm_IDs	Mtr4and5_combined_GOterm_IDs	Mtr4and5_combined_GOterms
MtrunA17_Chr1g0193011	cluster1	up	moderate	Promoter (2-3kb)	up(cluster_match)	1.64993710832083	3.08992509705579e-05	notDEG	0.160358002235059	0.97479296083815	notDEG	-0.24546094039428	0.739117079349373	NA	Putative inositol 3-alpha-galactosyltransferase	GO:0005737;GO:0047216;GO:0006012	Medtr1g084660;Medtr1g084670	NA	galactinol synthase	GO:0044723;GO:0006012;GO:0009651	GO:0047216;GO:0005737;GO:0044723;GO:0006012;GO:0009651	inositol 1-alpha-galactosyltransferase activity;cytoplasm;carbohydrate metabolic process;galactose metabolism;salinity response
MtrunA17_Chr1g0193861	cluster1	up	moderate	Promoter (<=1kb)	up(cluster_match)	0.832683311194769	0.0155855664465745	notDEG	-0.0376749769879323	1.0	notDEG	0.137114838586809	0.886072624341938	NA	Putative transcription factor interactor and regulator AUX-IAA family	GO:0005634;GO:0005515;GO:0006355;GO:0009734	Medtr1g085750	IAA30	auxin-responsive AUX/IAA family protein	GO:0006351;GO:0006355	GO:0005515;GO:0009734;GO:0006355;GO:0006351;GO:0005634	protein amino acid binding;auxin signaling;regulation of transcription, DNA-templated;transcription, DNA-templated;cell nucleus
MtrunA17_Chr1g0202661	cluster1	up	high	Promoter (<=1kb)	up(cluster_match)	0.698056935196246	7.47711998761064e-08	notDEG	0.0997159860683999	0.951594131752668	notDEG	0.161996979770198	0.630258511309903	NA	Putative beta-carotene 3-hydroxylase	GO:0016021;GO:0005506;GO:0016491;GO:0008610	Medtr1g100070	NA	beta-carotene hydroxylase	GO:0006633;GO:0008610;GO:0016117;GO:0016119;GO:0016122;GO:0016123;GO:0055114	GO:0016122;GO:0016123;GO:0016117;GO:0006633;GO:0055114;GO:0016119;GO:0008610;GO:0005506;GO:0016021;GO:0016491	xanthophyll metabolism;xanthophyll synthesis;carotenoid synthesis;fatty acid synthesis;oxidoreductase process;carotene metabolism;lipogenesis;iron binding;membrane;redox activity
MtrunA17_Chr1g0212551	cluster1	up	moderate	Promoter (<=1kb)	up(cluster_match)	0.929731155643604	0.00361136846775025	notDEG	-0.253813498067399	0.736880368752627	notDEG	-0.120182566199131	0.793879862575612	NA	Putative oxoglutarate dehydrogenase (succinyl-transferring)	GO:0030976;GO:0045252;GO:0004591;GO:0005739;GO:0006099	Medtr1g115340	NA	E1 subunit-like 2-oxoglutarate dehydrogenase	GO:0006099;GO:0044710;GO:0055114	GO:0005739;GO:0045252;GO:0055114;GO:0004591;GO:0030976;GO:0006099;GO:0044710	mitochondria;dihydrolipoamide S-succinyltransferase complex;oxidoreductase process;oxoglutarate dehydrogenase ;TPP binding;TCA cycle;metabolic process
MtrunA17_Chr2g0291191	cluster1	up	moderate	Promoter (<=1kb)	up(cluster_match)	0.659629078792868	3.73647941963459e-06	notDEG	0.408888609931273	0.611564608336358	up(cluster_match)	1.27311117502448	6.31305970975166e-06	NA	putative protein	NA	Medtr2g028180	NA	hypothetical protein	GO:0000398;GO:0000956;GO:0032259	GO:0000398;GO:0000956;GO:0032259	nuclear mRNA splicing, via spliceosome;nuclear mRNA degradation;methylation
MtrunA17_Chr2g0329021	cluster1	up	moderate	Promoter (<=1kb)	up(cluster_match)	0.872927905338366	9.2612449456375e-05	notDEG	0.965988111917802	0.85631022594239	notDEG	1.61345696450761	0.352223704516601	NA	Putative histone deacetylase	GO:0005515;GO:0016301;GO:0032041;GO:0016310;GO:0070932	Medtr2g098250	NA	LRR receptor-like kinase family protein	GO:0006468;GO:0016310;GO:0055114;GO:0070932	GO:0016310;GO:0005515;GO:0032041;GO:0055114;GO:0006468;GO:0016301;GO:0070932	phosphorylation;protein amino acid binding;NAD-dependent histone H3-K14 deacetylase activity;oxidoreductase process;protein amino acid phosphorylation;phosphokinase activity;histone H3 deacetylation
MtrunA17_Chr2g0332641	cluster1	up	moderate	Promoter (1-2kb)	up(cluster_match)	0.807024252838743	3.48157479838423e-06	notDEG	0.08232071192586	0.973717171954721	notDEG	-0.187573671550061	0.557925354811623	NA	Putative aspartate racemase	GO:0009507;GO:0008881;GO:0006807;GO:0047689	Medtr2g103300	NA	aspartate racemase	GO:0006520;GO:0006807;GO:0044710	GO:0008881;GO:0006807;GO:0006520;GO:0047689;GO:0009507;GO:0044710	glutamate racemase activity;nitrogen compound metabolism;cellular amino acid metabolism;aspartate racemase activity;chloroplast;metabolic process
MtrunA17_Chr3g0079401	cluster1	up	moderate	Promoter (<=1kb)	up(cluster_match)	0.61269408042306	0.000884117123599999	notDEG	0.204636194133231	0.782776982966872	notDEG	0.0407701265487642	0.956255019415836	NA	Putative pectinesterase	GO:0003746;GO:0004857;GO:0030599;GO:0006414;GO:0043086	Medtr3g008840	NA	plant invertase/pectin methylesterase inhibitor	GO:0048553	GO:0030599;GO:0003746;GO:0048553;GO:0043086;GO:0004857;GO:0006414	pectin methylesterase activity;translation elongation factor activity;negative regulation of catalytic activity;negative regulation of enzyme activity;enzyme inhibitor activity;translation elongation
MtrunA17_Chr3g0082181	cluster1	up	moderate	Promoter (<=1kb)	up(cluster_match)	1.14806689598568	2.1885082741427e-06	notDEG	-0.174790245878701	1.0	notDEG	0.542517676373218	0.57913639830756	NA	putative protein	GO:0016021	Medtr3g014180;Medtr1g037690	NA	transmembrane protein, putative	GO:0046622	GO:0016021;GO:0046622	membrane;positive regulation of organ growth
MtrunA17_Chr3g0112211	cluster1	up	high	Promoter (<=1kb)	up(cluster_match)	0.927918572570149	2.42529303214713e-10	notDEG	-0.121620911767861	0.972848154753324	up(cluster_match)	1.0744104473906	0.000368745460882048	NA	putative protein	GO:0016021;GO:0008375	Medtr3g068125	NA	transferring glycosyl group transferase	NA	GO:0016021;GO:0008375	membrane;GlcNAc transferase activity
MtrunA17_Chr3g0115851	cluster1	up	moderate	Downstream (<=300bp)	up(cluster_match)	0.750368894396147	0.00110887361374658	notDEG	0.47566997135581	0.693557147945903	notDEG	0.809056729474205	0.0770391958644572	NA	Putative protein-serine/threonine phosphatase	GO:0046872;GO:0106307;GO:0106306;GO:0006470	Medtr3g074610	NA	serine/threonine phosphatase family, 2C domain protein	GO:0006470	GO:0006470;GO:0046872;GO:0106307;GO:0106306	protein amino acid dephosphorylation;metal binding;protein serine/threonine phosphatase activity;protein serine/threonine phosphatase activity
MtrunA17_Chr3g0124181	cluster1	up	high	Promoter (<=1kb)	up(cluster_match)	0.720983725300702	0.00437946343293103	notDEG	-0.294923325169183	0.687662639824322	notDEG	0.124879271089476	0.797653805803716	NA	putative protein	GO:0016021	Medtr3g087360	NA	transmembrane protein, putative	NA	GO:0016021	membrane
MtrunA17_Chr3g0129061	cluster1	up	high	Promoter (<=1kb)	up(cluster_match)	1.17991609551747	0.0324995450708438	notDEG	-0.573164431123676	0.861443652050115	notDEG	-0.391877798273407	0.793540465464218	NA	Putative peroxidase	GO:0005576;GO:0004601;GO:0020037;GO:0046872;GO:0006979;GO:0042744;GO:0098869	Medtr3g094670	PRX52	horseradish peroxidase-like protein	GO:0006979;GO:0009809;GO:0010089;GO:0042744;GO:0055114;GO:0098869;GO:1901430	GO:0042744;GO:0004601;GO:0006979;GO:0020037;GO:0005576;GO:0009809;GO:1901430;GO:0055114;GO:0010089;GO:0046872;GO:0098869	hydrogen peroxide degradation;peroxidase reaction;response to oxidative stress;haem binding;extracellular;lignin synthesis;upregulation of syringal lignin synthesis;oxidoreductase process;xylem histogenesis;metal binding;cellular oxidant detoxification
MtrunA17_Chr3g0137851	cluster1	up	moderate	Promoter (<=1kb)	up(cluster_match)	2.26527617226645	0.0414558469777731	notDEG	0.166302895570701	1.0	up(cluster_match)	4.3024462463104	0.00121836742941945	MtSPX1	SPX domain-containing protein 	GO:0016036	Medtr3g107393	NA	IDS4-like protein	GO:0016036	GO:0016036	cellular response to phosphate starvation
MtrunA17_Chr4g0039011	cluster1	up	moderate	Promoter (<=1kb)	up(cluster_match)	1.01513351176403	0.0442448379764531	notDEG	0.843208159046858	0.5210737511696	up(cluster_match)	1.94497370729213	2.79781700067611e-06	MtBG22	beta-1,3-Glucanase 22	GO:0005975;GO:0042973;GO:0046658	Medtr4g076490	NA	glucan endo-1,3-beta-glucosidase	GO:0044723;GO:0042829;GO:0044710	GO:0042973;GO:0046658;GO:0044723;GO:0005975;GO:0042829;GO:0044710	glucan endo-1,3-beta-D-glucosidase activity;obsolete anchored component of plasma membrane;carbohydrate metabolic process;carbohydrate metabolism;defense response;metabolic process
MtrunA17_Chr4g0040411	cluster1	up	high	Promoter (<=1kb)	up(cluster_match)	1.62717861720442	2.3007383403188e-17	notDEG	0.184578214826247	0.927485273714989	notDEG	0.710682893870805	0.0777026372146672	NA	Putative transcription factor AP2-EREBP family	GO:0005634;GO:0003677;GO:0003700;GO:0006355	Medtr4g078710	ERF-6	ethylene response factor	GO:0006351;GO:0006355;GO:0019760;GO:0045892	GO:0019760;GO:0003677;GO:0006355;GO:0006351;GO:0003700;GO:0045892;GO:0005634	glucosinolate metabolism;DNA binding;regulation of transcription, DNA-templated;transcription, DNA-templated;sequence-specific DNA binding transcription factor activity;negative regulation of transcription, DNA-templated;cell nucleus
MtrunA17_Chr4g0071041	cluster1	up	high	Promoter (1-2kb)	up(cluster_match)	1.14848251299753	1.12424144178396e-18	notDEG	0.406059920676586	0.65132820592024	notDEG	0.141914167316396	0.827220237997859	NA	Putative IQ domain-containing protein IQM	GO:0005634	Medtr4g126020	NA	calmodulin-binding family protein	NA	GO:0005634	cell nucleus
